pair_id,phenomenon,n_annotators,mean_change,median_change,sd_change,mean_confidence,mean_fluency_s,mean_fluency_cf,agreement_flag
attach_000001,attachment,3,2.6633333333333336,2.49,0.4085747585611882,3.473333333333333,5.0,5.0,True
attach_000003,attachment,3,2.5500000000000003,2.62,0.42930175867331377,3.85,5.0,5.0,True
attach_000005,attachment,3,2.5700000000000003,2.33,0.5879625838435639,3.6666666666666665,5.0,5.0,True
attach_000006,attachment,3,3.0400000000000005,2.93,0.4355456348076514,3.4899999999999998,5.0,5.0,True
attach_000007,attachment,3,2.18,2.12,0.18734993995195204,3.9133333333333336,5.0,5.0,True
attach_000014,attachment,3,2.9600000000000004,3.19,0.6750555532695068,3.3433333333333333,5.0,5.0,True
attach_000015,attachment,3,2.6833333333333336,2.34,0.6384616929255297,3.6966666666666668,5.0,5.0,True
attach_000016,attachment,3,2.873333333333333,3.02,0.7409678355592322,3.2600000000000002,5.0,5.0,True
attach_000020,attachment,3,2.67,2.67,0.5800000000000001,3.4933333333333336,5.0,5.0,True
attach_000021,attachment,3,3.0233333333333334,2.95,0.24826061575153918,3.686666666666666,5.0,5.0,True
attach_000022,attachment,3,2.8633333333333333,2.89,0.6903863652574065,4.006666666666667,5.0,5.0,True
attach_000025,attachment,3,2.6933333333333334,2.54,0.3008875759039136,4.053333333333334,5.0,5.0,True
attach_000027,attachment,3,2.6466666666666665,2.77,0.2950141239556731,3.486666666666667,5.0,5.0,True
attach_000031,attachment,3,2.373333333333333,2.34,0.3810949138119446,3.6933333333333334,5.0,5.0,True
attach_000032,attachment,3,2.936666666666666,2.8,0.4315476026272575,3.83,5.0,5.0,True
attach_000037,attachment,3,2.6266666666666665,2.41,0.473743953347516,3.4966666666666666,5.0,5.0,True
attach_000057,attachment,3,2.466666666666667,2.41,0.4476978147515725,3.8266666666666667,5.0,5.0,True
attach_000059,attachment,3,2.91,3.12,0.45310043036836767,3.6633333333333336,5.0,5.0,True
attach_000060,attachment,3,2.65,2.84,0.4650806381693394,3.966666666666667,5.0,5.0,True
attach_000062,attachment,3,2.8866666666666667,2.84,0.16502525059315426,3.3266666666666667,5.0,5.0,True
attach_000067,attachment,3,2.5966666666666667,2.47,0.6493329911018946,3.8066666666666666,5.0,5.0,True
attach_000068,attachment,3,2.5533333333333332,2.55,0.37501111094650713,3.5400000000000005,5.0,5.0,True
attach_000070,attachment,3,2.6,2.68,0.16522711641858306,4.006666666666667,5.0,5.0,True
attach_000071,attachment,3,2.85,2.68,0.3296968304366907,3.65,5.0,5.0,True
attach_000074,attachment,3,2.796666666666667,2.85,0.14742229591664,3.7600000000000002,5.0,5.0,True
attach_000076,attachment,3,2.3866666666666667,2.23,0.4082074635933709,4.023333333333333,5.0,5.0,True
attach_000079,attachment,3,2.5366666666666666,2.11,0.7476853170507852,3.8633333333333333,5.0,5.0,True
attach_000085,attachment,3,2.91,2.68,0.5990826320300062,4.033333333333334,5.0,5.0,True
attach_000087,attachment,3,2.4566666666666666,2.53,0.2289832599412743,3.6366666666666667,5.0,5.0,True
attach_000090,attachment,3,2.733333333333333,2.64,0.3203643758805484,4.1466666666666665,5.0,5.0,True
neg_000002,negation,3,3.5933333333333333,3.7,0.5182984982935349,4.173333333333333,5.0,5.0,True
neg_000004,negation,3,3.4266666666666663,3.46,0.3810949138119444,4.12,5.0,5.0,True
neg_000007,negation,3,4.016666666666667,3.99,0.2212088003071607,3.513333333333333,5.0,5.0,True
neg_000013,negation,3,3.59,3.5,0.5109794516416486,4.0633333333333335,5.0,5.0,True
neg_000016,negation,3,3.67,3.84,0.31192947920964437,3.8333333333333335,5.0,5.0,True
neg_000023,negation,3,3.19,3.32,0.27874719729532693,4.046666666666667,5.0,5.0,True
neg_000026,negation,3,3.0766666666666667,3.09,0.07094598884597579,3.86,5.0,5.0,True
neg_000030,negation,3,3.7600000000000002,3.58,0.4951767361255981,4.12,5.0,5.0,True
neg_000040,negation,3,3.513333333333333,3.82,0.5838949677239336,3.9966666666666666,5.0,5.0,True
neg_000041,negation,3,3.6466666666666665,3.88,0.5024274408641843,3.313333333333333,5.0,5.0,True
neg_000042,negation,3,3.393333333333333,3.34,0.18583146486355143,3.563333333333333,5.0,5.0,True
neg_000043,negation,3,3.9633333333333334,4.0,0.3763420430052077,3.6166666666666667,5.0,5.0,True
neg_000047,negation,3,3.5366666666666666,3.37,0.7147260547463856,3.2433333333333336,5.0,5.0,True
neg_000049,negation,3,3.48,3.63,0.40632499307820086,4.33,5.0,5.0,True
neg_000051,negation,3,3.7566666666666664,3.69,0.19857828011475295,3.8333333333333335,5.0,5.0,True
neg_000054,negation,3,3.5233333333333334,3.33,0.5178159261101705,3.676666666666667,5.0,5.0,True
neg_000058,negation,3,3.9966666666666666,4.03,0.3611555528208496,3.4200000000000004,5.0,5.0,True
neg_000060,negation,3,3.9933333333333336,3.88,0.2409010862020618,3.986666666666667,5.0,5.0,True
neg_000061,negation,3,3.6966666666666668,3.88,0.7031595361888605,4.026666666666666,5.0,5.0,True
neg_000062,negation,3,3.6333333333333333,3.55,0.15307950004273385,3.8266666666666667,5.0,5.0,True
neg_000066,negation,3,3.8166666666666664,3.96,0.3292921701670618,4.1466666666666665,5.0,5.0,True
neg_000068,negation,3,3.66,3.61,0.5068530358989676,3.2266666666666666,5.0,5.0,True
