phenomenon,model,layer,control,spearman,p
negation,bert-base-uncased,0,abs_length_delta,0.0630346641104816,0.01461767170533259
negation,bert-base-uncased,1,abs_length_delta,0.06269712909516442,0.015156634053555416
negation,bert-base-uncased,2,abs_length_delta,0.06269712909516442,0.015156634053555416
negation,bert-base-uncased,3,abs_length_delta,0.062865896602823,0.014885005825181907
negation,bert-base-uncased,4,abs_length_delta,0.06185329155687149,0.01658120327393288
negation,bert-base-uncased,5,abs_length_delta,0.05932177888926215,0.021582808013091277
negation,bert-base-uncased,6,abs_length_delta,0.058140406388382616,0.0243351672581783
negation,bert-base-uncased,7,abs_length_delta,0.057802871373065445,0.02517536520613912
negation,bert-base-uncased,8,abs_length_delta,0.05459628872755233,0.03448799367188942
negation,bert-base-uncased,9,abs_length_delta,0.05560889377350383,0.03127200558074941
negation,bert-base-uncased,10,abs_length_delta,0.05527135875818667,0.0323141969266768
negation,bert-base-uncased,11,abs_length_delta,0.05729656885008969,0.026482662883145328
negation,bert-base-uncased,12,abs_length_delta,0.058140406388382616,0.0243351672581783
negation,bert-base-uncased,0,edit_distance,0.18392212430189683,7.039945546512063e-13
negation,bert-base-uncased,1,edit_distance,0.2076506101416817,4.500301182110638e-16
negation,bert-base-uncased,2,edit_distance,0.1741995927179491,1.097504971970744e-11
negation,bert-base-uncased,3,edit_distance,0.1838826202426715,7.121164260261722e-13
negation,bert-base-uncased,4,edit_distance,0.20619100852421435,7.269302317419081e-16
negation,bert-base-uncased,5,edit_distance,0.17465530581082814,9.682353099322147e-12
negation,bert-base-uncased,6,edit_distance,0.13816792431675437,7.763248670800765e-08
negation,bert-base-uncased,7,edit_distance,0.1189372930760772,3.856210693873363e-06
negation,bert-base-uncased,8,edit_distance,0.09603211599838167,0.00019545566910369032
negation,bert-base-uncased,9,edit_distance,0.10042502840558637,9.777224030546778e-05
negation,bert-base-uncased,10,edit_distance,0.08591226278602838,0.0008661129602155187
negation,bert-base-uncased,11,edit_distance,0.058975187226700344,0.022360760513754383
negation,bert-base-uncased,12,edit_distance,0.0651236838532622,0.011642290897060094
negation,bert-base-uncased,0,lexical_jaccard,-0.6050267356613811,1.8503970718450884e-150
negation,bert-base-uncased,1,lexical_jaccard,-0.6045590168992934,3.6121337607737596e-150
negation,bert-base-uncased,2,lexical_jaccard,-0.5352966791454972,5.721317389373474e-112
negation,bert-base-uncased,3,lexical_jaccard,-0.44012681032788353,4.272200516939487e-72
negation,bert-base-uncased,4,lexical_jaccard,-0.2533861644966552,2.092778006966092e-23
negation,bert-base-uncased,5,lexical_jaccard,-0.14442719389740152,1.9266800653188076e-08
negation,bert-base-uncased,6,lexical_jaccard,-0.10181301289521587,7.809170616124433e-05
negation,bert-base-uncased,7,lexical_jaccard,-0.06747936235599612,0.008941942501230886
negation,bert-base-uncased,8,lexical_jaccard,-0.05538524599963521,0.03195927731902966
negation,bert-base-uncased,9,lexical_jaccard,-0.04583801252068914,0.07593893182674244
negation,bert-base-uncased,10,lexical_jaccard,-0.06877804848750932,0.0077057596698575665
negation,bert-base-uncased,11,lexical_jaccard,-0.05619920870317938,0.02951851445642883
negation,bert-base-uncased,12,lexical_jaccard,-0.09124039806362415,0.00040292349989267886
negation,gpt2,0,abs_length_delta,0.05898424392667554,0.02234012619673947
negation,gpt2,1,abs_length_delta,0.060840686510919985,0.01844466442648432
negation,gpt2,2,abs_length_delta,0.04126365562252409,0.11015817309232268
negation,gpt2,3,abs_length_delta,0.040082283068913996,0.12073173210824323
negation,gpt2,4,abs_length_delta,0.045482843313988726,0.07824081233621864
negation,gpt2,5,abs_length_delta,0.03282528023959483,0.20387091806846833
negation,gpt2,6,abs_length_delta,0.03940721300325096,0.12712072194027652
negation,gpt2,7,abs_length_delta,0.04649544835994024,0.0718237954331217
negation,gpt2,8,abs_length_delta,0.03586309537744936,0.16505777658781798
negation,gpt2,9,abs_length_delta,0.015442226950760552,0.5500989070133452
negation,gpt2,10,abs_length_delta,0.024049369819971144,0.35196416147219384
negation,gpt2,11,abs_length_delta,0.02793102251749586,0.27966466832239745
negation,gpt2,12,abs_length_delta,0.003797268918942812,0.8831750227097899
negation,gpt2,0,edit_distance,0.1826160349645966,1.027280579485711e-12
negation,gpt2,1,edit_distance,0.20954501793069608,2.4023040428828933e-16
negation,gpt2,2,edit_distance,0.17118640207619976,2.4923825259279224e-11
negation,gpt2,3,edit_distance,0.16526831915881568,1.1962311873427675e-10
negation,gpt2,4,edit_distance,0.1509256578148774,4.250683438168003e-09
negation,gpt2,5,edit_distance,0.1814929225018399,1.4185703420296803e-12
negation,gpt2,6,edit_distance,0.14594458664404938,1.361793053533584e-08
negation,gpt2,7,edit_distance,0.1509378620847374,4.238372841221331e-09
negation,gpt2,8,edit_distance,0.1347871236321514,1.6069977124342622e-07
negation,gpt2,9,edit_distance,0.1376573935565048,8.674574600142526e-08
negation,gpt2,10,edit_distance,0.15930118655810735,5.496760972534511e-10
negation,gpt2,11,edit_distance,0.13509250642761184,1.505871179218099e-07
negation,gpt2,12,edit_distance,0.08048310609392247,0.001811211607665621
negation,gpt2,0,lexical_jaccard,-0.580695066782943,5.777908561607767e-136
negation,gpt2,1,lexical_jaccard,-0.48473442673163614,3.190944822230472e-89
negation,gpt2,2,lexical_jaccard,-0.5321537284587305,1.9323046070108112e-110
negation,gpt2,3,lexical_jaccard,-0.5250642842620231,4.7364651536665123e-107
negation,gpt2,4,lexical_jaccard,-0.44314432446866997,3.553442552414397e-73
negation,gpt2,5,lexical_jaccard,-0.40407603224597866,5.244510527807325e-60
negation,gpt2,6,lexical_jaccard,-0.42864149680919994,4.39415538382857e-68
negation,gpt2,7,lexical_jaccard,-0.45723625389517886,2.292665067779634e-78
negation,gpt2,8,lexical_jaccard,-0.5169202613395503,2.9586751409956816e-103
negation,gpt2,9,lexical_jaccard,-0.6275809647034655,4.616124768775689e-165
negation,gpt2,10,lexical_jaccard,-0.6593958618381243,7.804266893685125e-188
negation,gpt2,11,lexical_jaccard,-0.6852810703415855,1.5838991174235483e-208
negation,gpt2,12,lexical_jaccard,-0.6956054164329925,2.1377914205192795e-217
negation,roberta-base,0,abs_length_delta,0.04683298337525741,0.06978301512929463
negation,roberta-base,1,abs_length_delta,0.0537524511892594,0.037379668904472724
negation,roberta-base,2,abs_length_delta,0.022024159749445375,0.3940008170354875
negation,roberta-base,3,abs_length_delta,-0.005147408983586849,0.8421114490367184
negation,roberta-base,4,abs_length_delta,0.002953431384025242,0.9090072778329192
negation,roberta-base,5,abs_length_delta,0.02691841747154435,0.29747404637731134
negation,roberta-base,6,abs_length_delta,0.015948529473736307,0.5370974017387465
negation,roberta-base,7,abs_length_delta,0.010547969228661578,0.6831328079416586
negation,roberta-base,8,abs_length_delta,-0.006666316552514118,0.7964277765002293
negation,roberta-base,9,abs_length_delta,-0.013923319381833282,0.59000801729211
negation,roberta-base,10,abs_length_delta,-0.0009282212921222189,0.9713462329110004
