output_model,metric_model,phenomenon,metric,n,spearman_r,spearman_p,pearson_r,pearson_p
google/gemma-3-4b-it,bert-base-uncased,negation,delta_cos,1500,0.17190215416240212,2.053882462391112e-11,0.16649747576655963,8.676299333445058e-11
google/gemma-3-4b-it,bert-base-uncased,negation,delta_frob,1500,0.16257739679578082,2.396194003924797e-10,0.1563125520625189,1.1550605529105087e-09
google/gemma-3-4b-it,bert-base-uncased,negation,delta_l2,1500,0.2462381070417254,3.7320640315850865e-22,0.24180034487122698,2.132037059764586e-21
google/gemma-3-4b-it,bert-base-uncased,negation,delta_token_aligned,1500,0.23285905513978233,6.42337166239153e-20,0.23607051892175532,1.9212676550719326e-20
google/gemma-3-4b-it,bert-base-uncased,role_reversal,delta_cos,1500,0.22065694922181806,5.349452548385627e-18,0.12381420761235917,1.5106343312636476e-06
google/gemma-3-4b-it,bert-base-uncased,role_reversal,delta_frob,1500,0.20995817575586612,2.0932599170493162e-16,0.1349563289547857,1.5501823884757156e-07
google/gemma-3-4b-it,bert-base-uncased,role_reversal,delta_l2,1500,0.21299269084528974,7.546223638966365e-17,0.12409555741928842,1.4295602993863037e-06
google/gemma-3-4b-it,bert-base-uncased,role_reversal,delta_token_aligned,1500,0.14780668971460886,8.852167214797812e-09,0.15462831105044914,1.7444215702631866e-09
google/gemma-3-4b-it,gpt2,negation,delta_cos,1500,0.062486583448240006,0.015501610287104742,0.08798844548830431,0.0006459339449278167
google/gemma-3-4b-it,gpt2,negation,delta_frob,1500,0.18232808105889375,1.1161179780133488e-12,0.16272479142557922,2.3074142946549055e-10
google/gemma-3-4b-it,gpt2,negation,delta_l2,1500,0.09211366771880711,0.00035403603525093234,0.05873478046124882,0.022914575365303443
google/gemma-3-4b-it,gpt2,negation,delta_token_aligned,1500,0.0370667285135549,0.1513200055571598,0.07186672742191563,0.005358268441740704
google/gemma-3-4b-it,gpt2,role_reversal,delta_cos,1500,0.13050810187033465,3.935528565811192e-07,0.03562875059828431,0.1678383085584213
google/gemma-3-4b-it,gpt2,role_reversal,delta_frob,1500,0.08188519377208808,0.0015030836000899455,0.03069082566035437,0.23485725600022192
google/gemma-3-4b-it,gpt2,role_reversal,delta_l2,1500,0.05420318340786916,0.035810433877155594,-0.005260743116334535,0.8386823030031122
google/gemma-3-4b-it,gpt2,role_reversal,delta_token_aligned,1500,-0.00858101409429574,0.7398361738126057,0.020215597619059226,0.43399482650537813
google/gemma-3-4b-it,roberta-base,negation,delta_cos,1500,0.25701707494651377,4.6755850602652354e-24,0.23069873023341939,1.4320669876800192e-19
google/gemma-3-4b-it,roberta-base,negation,delta_frob,1500,0.25264980613937743,2.827885624604754e-23,0.229632088351868,2.121197283423345e-19
google/gemma-3-4b-it,roberta-base,negation,delta_l2,1500,0.31816829311025063,1.2339958722769366e-36,0.2819890233439446,8.093148210738329e-29
google/gemma-3-4b-it,roberta-base,negation,delta_token_aligned,1500,0.33139050236885803,8.922254248450245e-40,0.3049050195960273,1.2213333773367282e-33
google/gemma-3-4b-it,roberta-base,role_reversal,delta_cos,1500,0.17000240957064577,3.42647278265538e-11,0.11285128507809705,1.1809821813756044e-05
google/gemma-3-4b-it,roberta-base,role_reversal,delta_frob,1500,0.16823292805634482,5.4905616794328285e-11,0.11898031086918541,3.825065770452326e-06
google/gemma-3-4b-it,roberta-base,role_reversal,delta_l2,1500,0.168885908396322,4.616423215162119e-11,0.1309286346787906,3.60839304168427e-07
google/gemma-3-4b-it,roberta-base,role_reversal,delta_token_aligned,1500,0.11928357388794344,3.6122394122831116e-06,0.13875485180171226,6.829824907804527e-08
gpt2,bert-base-uncased,negation,delta_cos,1500,-0.03589620045901398,0.1646677892808589,-0.041354217954691345,0.10937877232673462
gpt2,bert-base-uncased,negation,delta_frob,1500,-0.004153050010591422,0.8723190264425869,-0.015777490080133186,0.5414722664670866
gpt2,bert-base-uncased,negation,delta_l2,1500,-0.025265738699522387,0.32813457431046356,-0.019864818156602244,0.44201467587410403
gpt2,bert-base-uncased,negation,delta_token_aligned,1500,-0.1276700425650172,7.019246190385298e-07,-0.1322052909437777,2.7680681974623963e-07
gpt2,bert-base-uncased,role_reversal,delta_cos,1500,0.04443134576207043,0.08538998947749848,0.028446044936185928,0.27089015808052497
gpt2,bert-base-uncased,role_reversal,delta_frob,1500,0.023333741724653547,0.3664826423146547,0.014073942093291379,0.5859915088276293
gpt2,bert-base-uncased,role_reversal,delta_l2,1500,0.05538518290667773,0.03195947301477156,0.0539493557528646,0.03668709092538231
gpt2,bert-base-uncased,role_reversal,delta_token_aligned,1500,0.07857379384412774,0.002324312337674202,0.0656906158446272,0.010933575946296707
gpt2,gpt2,negation,delta_cos,1500,0.159171183848088,5.678880957158194e-10,0.13485500150667448,1.5839682978966073e-07
gpt2,gpt2,negation,delta_frob,1500,0.12572621804013165,1.0359163198988082e-06,0.1370223795250938,9.953209165971703e-08
gpt2,gpt2,negation,delta_l2,1500,0.09321058328092605,0.0003004716689681919,-0.030167459715424658,0.24293892597592867
gpt2,gpt2,negation,delta_token_aligned,1500,-0.16712137438620528,7.364373399068481e-11,-0.16474075055982773,1.37202135637969e-10
gpt2,gpt2,role_reversal,delta_cos,1500,0.03217919594837649,0.21291918423245892,-0.03513194363586681,0.17384897025956036
