model,phenomenon,layer,n,adj_r2_cos,adj_r2_cos_frob,delta_adj_r2,beta_z_frob,p_z_frob,p_z_frob_q
roberta-base,negation,4,1500,0.0076171635737675,0.0450500158620723,0.0374328522883048,3.4025213132677337,2.071598934863432e-14,3.905161893458078e-13
roberta-base,negation,3,1500,0.0059528623420719,0.0432101108337724,0.0372572484917005,2.414542467726556,2.5033089060628704e-14,3.905161893458078e-13
gpt2,role_reversal,5,1500,0.0639481815317866,0.1010802045780572,0.0371320230462706,0.4800102129740192,4.444748719219929e-15,1.7334520004957726e-13
roberta-base,role_reversal,11,1500,0.1146988178258422,0.1499254522936027,0.0352266344677605,6.333486775017676,4.0368008817658536e-15,1.7334520004957726e-13
gpt2,role_reversal,11,1500,0.0921850565495828,0.1266211878976127,0.0344361313480299,0.5666448053575909,1.7512222696027713e-14,3.905161893458078e-13
roberta-base,negation,6,1500,0.0073915274748728,0.0412917086883838,0.033900181213511,4.360192998753938,3.452205743390792e-13,3.846743542635453e-12
roberta-base,negation,5,1500,0.0067410587843541,0.0401432802678493,0.0334022214834951,3.940020464515345,5.21491952949266e-13,5.084546541255343e-12
roberta-base,role_reversal,12,1500,0.1271459637163509,0.1589750772506626,0.0318291135343117,2.894171061038056,5.575258425894872e-14,7.247835953663335e-13
gpt2,negation,0,1500,0.0132623241059304,0.0432242111946495,0.0299618870887191,0.5345476958802152,6.806061839473528e-12,5.308728234789352e-11
roberta-base,role_reversal,9,1500,0.1452862574222126,0.1737029736112676,0.0284167161890549,4.86509020396759,7.044415269175037e-13,6.105159899951697e-12
roberta-base,negation,0,1500,0.0141456726087861,0.0410535945545581,0.0269079219457719,0.8533518887536736,7.603254545085182e-11,4.561952727051109e-10
gpt2,role_reversal,6,1500,0.07638771705487,0.1027236323805044,0.0263359153256343,0.4057759821487546,2.915320790126432e-11,2.0672274693623787e-10
roberta-base,negation,2,1500,0.0083775508556609,0.0337774391667844,0.0253998883111234,1.5697689180443446,2.8438591052703897e-10,1.584435787222074e-09
gpt2,role_reversal,8,1500,0.0832789361054059,0.1086542114425,0.0253752753370941,0.4461178158844517,5.6123072765447237e-11,3.647999729754071e-10
gpt2,role_reversal,4,1500,0.056384630255073,0.0782996108475536,0.0219149805924806,0.3641813371578455,1.8574716318457e-09,8.52251689905674e-09
gpt2,role_reversal,7,1500,0.0860497998986038,0.1074073462117385,0.0213575463131346,0.3891343523910463,1.6590179006839296e-09,8.087712265834157e-09
bert-base-uncased,role_reversal,4,1500,0.1063441531373712,0.1274391950348854,0.0210950418975142,0.4572431637503318,1.3773897908245455e-09,7.1624269122876384e-09
bert-base-uncased,negation,0,1500,0.0167515211346243,0.0368022809804983,0.020050759845874,0.561387009389488,1.7170666902469088e-08,6.696560091962945e-08
gpt2,role_reversal,10,1500,0.0874605838938289,0.107330623809049,0.01987003991522,0.4180069629544803,5.799534885646123e-09,2.5131317837799868e-08
gpt2,negation,12,1500,0.0110789878022354,0.0306682355327911,0.0195892477305557,-1.5233933145929988,2.7158704211332844e-08,1.0087518707066485e-07
bert-base-uncased,negation,3,1500,0.0080609569356449,0.0274788734494705,0.0194179165138256,0.4977931868945753,3.2614378711550925e-08,1.156327972500442e-07
roberta-base,role_reversal,10,1500,0.1320184618707056,0.1506406991605942,0.0186222372898885,4.63216519525381,7.455157404297521e-09,3.0605383028168764e-08
