model,phenomenon,metric,layer,n,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_q,pearson_q
bert-base-uncased,negation,delta_cos,0,1500,0.097190587005488,0.0001632703349388,0.0498537549446573,0.1397161609078444,0.1266447517110857,8.62502790246006e-07,0.066145766603393,0.1665951591440178,0.0002894337755733,1.7588292193251884e-06
bert-base-uncased,negation,delta_frob,0,1500,0.154189145225147,1.9409708996328526e-09,0.101870046664469,0.1971604611804113,0.1598167238021304,4.828985784501959e-10,0.1012122155363657,0.200666901091637,4.388282033952536e-09,1.1243608692273215e-09
bert-base-uncased,negation,delta_l2,0,1500,0.0707479302185426,0.0061213997953447,0.0187892210303002,0.1121015262574539,0.121953814476192,2.169004318370988e-06,0.060122346883166,0.1624356659649071,0.0091381662016629,4.256159417180806e-06
bert-base-uncased,negation,delta_token_aligned,3,1500,0.0194916044295189,0.4506397324441712,-0.0360410866599452,0.0713935516186221,0.0387358684833104,0.1337320850896003,-0.0114249161626882,0.0900072390392676,0.4950690018400754,0.1629859787029504
bert-base-uncased,role_reversal,delta_cos,9,1500,0.3297652364592596,2.2131319456824685e-39,0.2830984844680432,0.3741424612350066,0.3655122171395056,1.2611705047405863e-48,0.3129976950417033,0.4208854026659949,3.2880817478710957e-38,1.2693070886421387e-47
bert-base-uncased,role_reversal,delta_frob,7,1500,0.3286149630624909,4.195578432349464e-39,0.2793467680524378,0.3758924246167359,0.3884448637551964,3.29151567718042e-55,0.3411887099514865,0.4382715016742123,5.691393351708837e-38,1.0375012954833883e-53
bert-base-uncased,role_reversal,delta_l2,9,1500,0.3271474892481928,9.450315182435868e-39,0.2786956857580615,0.3731266556322618,0.3683376658307566,2.0799788469018302e-49,0.3219820398949018,0.4171032473387903,1.0920364210814782e-37,2.2377703456323142e-48
bert-base-uncased,role_reversal,delta_token_aligned,6,1500,0.2359417118746936,2.0172651484836027e-20,0.191715824829418,0.2860706555427298,0.2594952694259874,1.6581341002039187e-24,0.2031639483346571,0.3137400194861032,5.827654873397074e-20,6.0863275207485006e-24
gpt2,negation,delta_cos,8,1500,0.1187933961963088,3.962166544943321e-06,0.0650360656512266,0.1654338258041198,0.1103174131949788,1.85147184467873e-05,0.0584729749281461,0.1533487476809428,7.873859630715388e-06,3.339070610056438e-05
gpt2,negation,delta_frob,0,1500,0.1314247883107347,3.25608864255436e-07,0.0763906605584043,0.1767428781215682,0.1724127192834458,1.7881736076986618e-11,0.1172651584012055,0.2147186329030962,6.91088201685007e-07,4.358673168765488e-11
gpt2,negation,delta_l2,0,1500,0.0951762047576973,0.000222963413415,0.0342601237806087,0.1418520994238657,0.1404609324854062,4.692245622797744e-08,0.0791396685441219,0.179292108144505,0.0003886289663994,1.0027264618581478e-07
gpt2,negation,delta_token_aligned,11,1500,-0.0572231486760066,0.0266770194569733,-0.1016390690324204,-0.0069674578215516,-0.0811350488350618,0.0016613610157742,-0.1097843662855086,-0.0427770562441106,0.0371572771007843,0.002422171200568
gpt2,role_reversal,delta_cos,12,1500,0.3296143583785484,2.4071969419525958e-39,0.2822585826682921,0.3791213213179241,0.4221488862461843,6.97148209699248e-66,0.3689524762273405,0.4778485195865524,3.413842935860045e-38,1.087551207130827e-63
gpt2,role_reversal,delta_frob,10,1500,0.3179570354557603,1.3811236337376744e-36,0.2698815865940044,0.3632117038947584,0.3056968866929453,8.171003458623958e-34,0.26047892855321,0.3491416483813124,1.1048989069901396e-35,4.179267342771598e-33
gpt2,role_reversal,delta_l2,9,1500,0.322725991044022,1.0624545706647656e-37,0.2705071870904291,0.3693705456084113,0.1796027585630766,2.4306747935124e-12,0.1271237200938345,0.2270546183540565,1.0358932063981464e-36,6.018813774411657e-12
gpt2,role_reversal,delta_token_aligned,12,1500,0.1824186700920984,1.087387592387459e-12,0.1243723324063062,0.2294949419921225,0.2533042858851819,2.1641208984625366e-23,0.1909457598292632,0.3175581784086424,2.513073546851016e-12,7.58658112719451e-23
roberta-base,negation,delta_cos,1,1500,0.089642314668238,0.0005090711408502,0.0332038278701443,0.1362957209420427,0.1419001203227803,3.4067084505285617e-08,0.0852949937099819,0.1834711144052741,0.000853925784652,7.48516222933036e-08
roberta-base,negation,delta_frob,0,1500,0.1175885894908257,4.96551834112722e-06,0.0586774478296404,0.1635009547823041,0.1488149931542776,6.9948390888355134e-09,0.0899366285173964,0.1910992107448537,9.74114042962277e-06,1.5588498540833432e-08
roberta-base,negation,delta_l2,1,1500,0.07158835126818,0.005539670682326,0.0153472381453734,0.1153666949794081,0.1292733038879619,5.069797200383037e-07,0.072294480609458,0.1656191696928976,0.0083095060234891,1.0545178176796717e-06
roberta-base,negation,delta_token_aligned,2,1500,0.0320384427350093,0.2149282508975922,-0.0175545472568525,0.0835964479694979,0.0567764055604117,0.0278863563096423,0.0052497401435923,0.1045045605095019,0.2540061146971544,0.0365569040697832
roberta-base,role_reversal,delta_cos,7,1500,0.3672576276911982,4.151269633804391e-49,0.3211954995571918,0.4138084164197666,0.3908624486236694,6.196742307432825e-56,0.3434688241229613,0.4365198081001863,4.317320419156568e-47,2.4167294998988013e-54
roberta-base,role_reversal,delta_frob,7,1500,0.368273948659399,2.1666891020046763e-49,0.3216061707736028,0.4143956526302791,0.393127800520027,1.2795920254824853e-56,0.3452397035698964,0.4381617372591459,3.380034999127295e-47,6.653878532508922e-55
