model,phenomenon,layer,delta_cos,delta_frob,delta_l2,delta_token_aligned
bert-base-uncased,negation,0,0.08841095558802287,0.10140360376563815,3.432683139483134,0.009900279449092017
bert-base-uncased,negation,1,0.11911864455540976,0.12008922781182389,5.265409411112468,0.04786052880684535
bert-base-uncased,negation,2,0.10435356601079306,0.11271855365826457,5.609679750442504,0.06598177644279268
bert-base-uncased,negation,3,0.10423572254180909,0.11997595529265961,5.522566677729289,0.1066359162595537
bert-base-uncased,negation,4,0.0890261021455129,0.10511782377572547,5.830197881698608,0.09897772296932007
bert-base-uncased,negation,5,0.09887453103065491,0.10973598731234128,6.652127857208252,0.1074607256717152
bert-base-uncased,negation,6,0.11295201388994852,0.12595514984070963,7.3194767799377445,0.13183901566267014
bert-base-uncased,negation,7,0.12165439200401307,0.13696677562766818,7.355039280573527,0.13942301824357775
bert-base-uncased,negation,8,0.13800984303156535,0.1524983030019502,7.338677163441976,0.15944779121875763
bert-base-uncased,negation,9,0.13822356184323628,0.15048714300699975,6.990078617095947,0.154622849881649
bert-base-uncased,negation,10,0.13988149126370747,0.1532005556161555,7.770822881698608,0.15608898525767856
bert-base-uncased,negation,11,0.13729397296905518,0.1474081751788787,7.896014331181844,0.1499146466056506
bert-base-uncased,negation,12,0.16182789953549703,0.17106347351738949,6.414150807698568,0.16719542641772164
bert-base-uncased,role_reversal,0,0.016557671626408896,0.039140478045889104,1.1249540653120105,0.01675547211906152
bert-base-uncased,role_reversal,1,0.02788308930397034,0.04160982903210409,2.1715945795575777,0.02842030452155849
bert-base-uncased,role_reversal,2,0.021933934609095256,0.036658989824469856,2.2640965782801312,0.03557146397860306
bert-base-uncased,role_reversal,3,0.022819427887598675,0.04248320033589101,2.2508402648766834,0.056180856069694515
bert-base-uncased,role_reversal,4,0.021625853141148885,0.040297129693146035,2.4815732395648955,0.06943921743451889
bert-base-uncased,role_reversal,5,0.023477213700612388,0.03736868086961555,2.844054327805837,0.07199899929826681
bert-base-uncased,role_reversal,6,0.0291040563583374,0.04544626558524093,3.2189338255723317,0.0926218364616579
bert-base-uncased,role_reversal,7,0.032115890900293986,0.04890404728853936,3.316405624548594,0.10233412107075276
bert-base-uncased,role_reversal,8,0.035353515227635704,0.050062909537502816,3.4013351755142214,0.10714804270038127
bert-base-uncased,role_reversal,9,0.04262742837270101,0.05815775654374625,3.4985928824742634,0.11912954710942154
bert-base-uncased,role_reversal,10,0.045589075167973836,0.059648341908893315,4.107650640964508,0.11602513997840332
bert-base-uncased,role_reversal,11,0.039773027578989664,0.04955013099662366,4.020191884835561,0.1000249910512442
bert-base-uncased,role_reversal,12,0.05140446281433105,0.0625360712935696,3.098126920223236,0.1106476520450629
gpt2,negation,0,0.00755161698659261,0.011340451176791475,0.6452818590005239,0.0013256598711013795
gpt2,negation,1,0.008867087761561076,0.010761435135067395,7.554356122970581,0.0006773093673917982
gpt2,negation,2,0.0035083065827687583,0.01739673199488343,22.617206398010254,0.001898840430710051
gpt2,negation,3,0.000299464225769043,0.018949264660197446,86.04330724080404,0.005074751979774899
gpt2,negation,4,0.0003318650722503662,0.023192790092902506,92.06077483113607,0.008847720450825162
gpt2,negation,5,0.0003597697416941325,0.024348473075945117,98.0549774983724,0.012052803503142464
gpt2,negation,6,0.0004116559028625488,0.02693851854597776,100.9373061726888,0.014560663322607676
gpt2,negation,7,0.0004998425642649333,0.027723034956259576,103.14160450236002,0.01649783988793691
gpt2,negation,8,0.0007270221710205078,0.030303545220489257,105.54370208740234,0.020490361313025156
gpt2,negation,9,0.0010497697194417318,0.02758907628755484,106.62999634806314,0.01911346048116684
gpt2,negation,10,0.0014615723292032879,0.021821934383234685,107.41711537679036,0.015018822391827901
gpt2,negation,11,0.002323917309443156,0.012414506325884521,108.70188764444987,0.007827622102366554
gpt2,negation,12,0.0008037878672281901,0.0006949651496416012,13.475745000839233,0.00018341961834165784
gpt2,role_reversal,0,0.001238386869430542,0.0024156626436420765,0.21251121123323294,0.0037322005963715413
