phenomenon,probe_name,model,layer,macro_f1,control_macro_f1,selectivity,accuracy,control_accuracy
attachment,attachment_probe,bert-base-uncased,0,1.0,0.5315013349779553,0.46849866502204474,1.0,0.5325
attachment,attachment_probe,bert-base-uncased,1,1.0,0.49567786220482757,0.5043221377951724,1.0,0.4965
attachment,attachment_probe,bert-base-uncased,2,1.0,0.4992287190391565,0.5007712809608436,1.0,0.5
attachment,attachment_probe,bert-base-uncased,3,1.0,0.5001489270197488,0.4998510729802512,1.0,0.501
attachment,attachment_probe,bert-base-uncased,4,1.0,0.4980068654362695,0.5019931345637305,1.0,0.499
attachment,attachment_probe,bert-base-uncased,5,1.0,0.4981276375834101,0.50187236241659,1.0,0.499
attachment,attachment_probe,bert-base-uncased,6,1.0,0.49111206245632755,0.5088879375436725,1.0,0.492
attachment,attachment_probe,bert-base-uncased,7,1.0,0.4946917697331921,0.5053082302668079,1.0,0.4955
attachment,attachment_probe,bert-base-uncased,8,1.0,0.49222314192811345,0.5077768580718865,1.0,0.4925
attachment,attachment_probe,bert-base-uncased,9,1.0,0.4990420410335914,0.5009579589664086,1.0,0.4995
attachment,attachment_probe,bert-base-uncased,10,1.0,0.4979735862317824,0.5020264137682175,1.0,0.49850000000000005
attachment,attachment_probe,bert-base-uncased,11,1.0,0.5026074542167694,0.49739254578323056,1.0,0.5029999999999999
attachment,attachment_probe,bert-base-uncased,12,1.0,0.50404693420068,0.49595306579931997,1.0,0.5045
attachment,attachment_probe,gpt2,0,1.0,0.5167695478856877,0.4832304521143123,1.0,0.5175000000000001
attachment,attachment_probe,gpt2,1,1.0,0.4886397681280343,0.5113602318719657,1.0,0.489
attachment,attachment_probe,gpt2,2,1.0,0.48654184049459487,0.5134581595054051,1.0,0.487
attachment,attachment_probe,gpt2,3,1.0,0.4927135901170111,0.5072864098829889,1.0,0.493
attachment,attachment_probe,gpt2,4,1.0,0.49551956397249486,0.5044804360275051,1.0,0.496
attachment,attachment_probe,gpt2,5,1.0,0.49241710633184566,0.5075828936681543,1.0,0.493
attachment,attachment_probe,gpt2,6,1.0,0.49436455603040275,0.5056354439695973,1.0,0.495
attachment,attachment_probe,gpt2,7,1.0,0.4819655257591072,0.5180344742408928,1.0,0.48250000000000004
attachment,attachment_probe,gpt2,8,1.0,0.49541831717638357,0.5045816828236165,1.0,0.496
attachment,attachment_probe,gpt2,9,1.0,0.4902478376890155,0.5097521623109845,1.0,0.49050000000000005
attachment,attachment_probe,gpt2,10,1.0,0.47813754069631675,0.5218624593036832,1.0,0.47850000000000004
attachment,attachment_probe,gpt2,11,1.0,0.4870192425318998,0.5129807574681002,1.0,0.4875
attachment,attachment_probe,gpt2,12,1.0,0.4875188063031744,0.5124811936968257,1.0,0.488
attachment,attachment_probe,roberta-base,0,1.0,0.5207784519337884,0.4792215480662116,1.0,0.5215
attachment,attachment_probe,roberta-base,1,1.0,0.49373932894448735,0.5062606710555126,1.0,0.49399999999999994
attachment,attachment_probe,roberta-base,2,1.0,0.49315099822821196,0.506849001771788,1.0,0.49350000000000005
attachment,attachment_probe,roberta-base,3,1.0,0.5013603516415582,0.49863964835844177,1.0,0.502
attachment,attachment_probe,roberta-base,4,1.0,0.5075564008678437,0.49244359913215624,1.0,0.508
attachment,attachment_probe,roberta-base,5,1.0,0.4861437019818311,0.5138562980181689,1.0,0.487
attachment,attachment_probe,roberta-base,6,1.0,0.48639131528930585,0.5136086847106942,1.0,0.487
attachment,attachment_probe,roberta-base,7,1.0,0.4949862557544852,0.5050137442455148,1.0,0.4955
attachment,attachment_probe,roberta-base,8,1.0,0.4954573161994814,0.5045426838005186,1.0,0.496
attachment,attachment_probe,roberta-base,9,1.0,0.498020325223557,0.501979674776443,1.0,0.49849999999999994
attachment,attachment_probe,roberta-base,10,1.0,0.5004684743276824,0.4995315256723177,1.0,0.501
attachment,attachment_probe,roberta-base,11,1.0,0.4958304313141591,0.504169568685841,1.0,0.4965
attachment,attachment_probe,roberta-base,12,1.0,0.5005042937292112,0.4994957062707888,1.0,0.501
negation,negation_probe,bert-base-uncased,0,1.0,0.4882847973615957,0.5117152026384043,1.0,0.4886666666666667
negation,negation_probe,bert-base-uncased,1,1.0,0.5044654213407868,0.49553457865921324,1.0,0.5046666666666667
negation,negation_probe,bert-base-uncased,2,1.0,0.5054417090401385,0.4945582909598615,1.0,0.5056666666666667
negation,negation_probe,bert-base-uncased,3,1.0,0.4870222371918551,0.5129777628081449,1.0,0.4876666666666667
negation,negation_probe,bert-base-uncased,4,1.0,0.4911394369113998,0.5088605630886003,1.0,0.4916666666666667
negation,negation_probe,bert-base-uncased,5,1.0,0.4972129702754538,0.5027870297245463,1.0,0.49733333333333335
negation,negation_probe,bert-base-uncased,6,1.0,0.4808468769848848,0.5191531230151152,1.0,0.48100000000000004
negation,negation_probe,bert-base-uncased,7,1.0,0.4841080828133658,0.5158919171866342,1.0,0.4843333333333334
negation,negation_probe,bert-base-uncased,8,1.0,0.4928296747481381,0.5071703252518619,1.0,0.49333333333333335
negation,negation_probe,bert-base-uncased,9,1.0,0.4871687491997868,0.5128312508002132,1.0,0.4876666666666667
negation,negation_probe,bert-base-uncased,10,1.0,0.5022700402916964,0.4977299597083036,1.0,0.5026666666666666
negation,negation_probe,bert-base-uncased,11,1.0,0.49863096391260814,0.5013690360873919,1.0,0.4986666666666667
negation,negation_probe,bert-base-uncased,12,1.0,0.4858360497928583,0.5141639502071417,1.0,0.48633333333333334
negation,negation_probe,gpt2,0,1.0,0.47593228743372523,0.5240677125662747,1.0,0.4763333333333334
negation,negation_probe,gpt2,1,1.0,0.48933863780282055,0.5106613621971794,1.0,0.48966666666666664
negation,negation_probe,gpt2,2,1.0,0.4911194955455801,0.5088805044544199,1.0,0.4913333333333333
negation,negation_probe,gpt2,3,1.0,0.4866628473149931,0.5133371526850069,1.0,0.48699999999999993
negation,negation_probe,gpt2,4,1.0,0.4868035727548142,0.5131964272451858,1.0,0.4873333333333333
negation,negation_probe,gpt2,5,1.0,0.49573315148653074,0.5042668485134693,1.0,0.496
negation,negation_probe,gpt2,6,1.0,0.49600459332634256,0.5039954066736574,1.0,0.4963333333333333
negation,negation_probe,gpt2,7,1.0,0.4982993875361757,0.5017006124638244,1.0,0.49866666666666665
negation,negation_probe,gpt2,8,1.0,0.49073246884419375,0.5092675311558064,1.0,0.491
negation,negation_probe,gpt2,9,1.0,0.4882560834936668,0.5117439165063332,1.0,0.4886666666666667
negation,negation_probe,gpt2,10,1.0,0.48699808357189217,0.5130019164281079,1.0,0.4873333333333333
negation,negation_probe,gpt2,11,1.0,0.4927711935392747,0.5072288064607253,1.0,0.49333333333333335
negation,negation_probe,gpt2,12,1.0,0.48965662016653644,0.5103433798334636,1.0,0.49000000000000005
negation,negation_probe,roberta-base,0,1.0,0.4759960028688829,0.5240039971311171,1.0,0.4763333333333334
negation,negation_probe,roberta-base,1,1.0,0.4890960101199747,0.5109039898800253,1.0,0.48933333333333334
negation,negation_probe,roberta-base,2,1.0,0.4805222125887901,0.51947778741121,1.0,0.4806666666666667
negation,negation_probe,roberta-base,3,1.0,0.48917874980464077,0.5108212501953593,1.0,0.48933333333333334
negation,negation_probe,roberta-base,4,1.0,0.4830008817648272,0.5169991182351727,1.0,0.4833333333333333
negation,negation_probe,roberta-base,5,1.0,0.4864667236490856,0.5135332763509144,1.0,0.4866666666666667
negation,negation_probe,roberta-base,6,1.0,0.49234944406952447,0.5076505559304756,1.0,0.493
negation,negation_probe,roberta-base,7,1.0,0.47990693955184033,0.5200930604481597,1.0,0.4803333333333333
negation,negation_probe,roberta-base,8,1.0,0.48204403786192074,0.5179559621380793,1.0,0.48233333333333334
negation,negation_probe,roberta-base,9,1.0,0.4916328852624491,0.5083671147375509,1.0,0.4916666666666667
negation,negation_probe,roberta-base,10,1.0,0.5031411404018951,0.4968588595981049,1.0,0.5033333333333333
negation,negation_probe,roberta-base,11,1.0,0.49560151332304025,0.5043984866769599,1.0,0.4956666666666667
negation,negation_probe,roberta-base,12,1.0,0.4789518516144673,0.5210481483855327,1.0,0.4793333333333333
role_reversal,role_probe,bert-base-uncased,0,0.960994907492194,0.48786720207131784,0.4731277054208761,0.961,0.488
role_reversal,role_probe,bert-base-uncased,1,0.9989999972222146,0.493034231281137,0.5059657659410776,0.999,0.49316666666666664
role_reversal,role_probe,bert-base-uncased,2,0.9993333314814763,0.4882716750405586,0.5110616564409177,0.9993333333333332,0.4883333333333333
role_reversal,role_probe,bert-base-uncased,3,1.0,0.4930560844094997,0.5069439155905002,1.0,0.49316666666666664
role_reversal,role_probe,bert-base-uncased,4,1.0,0.4866376768388029,0.5133623231611971,1.0,0.48683333333333334
role_reversal,role_probe,bert-base-uncased,5,1.0,0.49203632249159196,0.507963677508408,1.0,0.4921666666666667
role_reversal,role_probe,bert-base-uncased,6,1.0,0.49228910985847596,0.507710890141524,1.0,0.4925
role_reversal,role_probe,bert-base-uncased,7,1.0,0.49013498807421374,0.5098650119257863,1.0,0.49016666666666664
role_reversal,role_probe,bert-base-uncased,8,1.0,0.49640019772258875,0.5035998022774113,1.0,0.4965
role_reversal,role_probe,bert-base-uncased,9,1.0,0.48603958420901894,0.5139604157909811,1.0,0.48616666666666664
role_reversal,role_probe,bert-base-uncased,10,0.9993333314814763,0.48243114578495144,0.5169021856965249,0.9993333333333332,0.48250000000000004
role_reversal,role_probe,bert-base-uncased,11,0.9996666657407381,0.4853013266326284,0.5143653391081097,0.9996666666666666,0.48533333333333334
role_reversal,role_probe,bert-base-uncased,12,0.9993333314814763,0.4763872844409778,0.5229460470404985,0.9993333333333332,0.4766666666666667
role_reversal,role_probe,gpt2,0,0.9698309743325488,0.48825757831594474,0.48157339601660426,0.9698333333333334,0.4883333333333333
role_reversal,role_probe,gpt2,1,0.9959999594899507,0.488640931670834,0.5073590278191166,0.9960000000000001,0.4886666666666667
role_reversal,role_probe,gpt2,2,0.9966666150450433,0.4813194501299966,0.5153471649150466,0.9966666666666667,0.48149999999999993
role_reversal,role_probe,gpt2,3,0.995166550807132,0.48205258274314405,0.513113968063988,0.9951666666666666,0.48233333333333334
role_reversal,role_probe,gpt2,4,0.9954999093730466,0.47731096915650034,0.5181889402165463,0.9955,0.47750000000000004
role_reversal,role_probe,gpt2,5,0.9961665737242313,0.4746701528162416,0.5214964209079896,0.9961666666666666,0.47483333333333333
role_reversal,role_probe,gpt2,6,0.9961665737242313,0.4842595378149566,0.5119070359092748,0.9961666666666666,0.4843333333333334
role_reversal,role_probe,gpt2,7,0.9961665737242313,0.47805602423242777,0.5181105494918036,0.9961666666666666,0.47816666666666663
role_reversal,role_probe,gpt2,8,0.9958332540492041,0.48604607743048855,0.5097871766187156,0.9958333333333333,0.48616666666666664
role_reversal,role_probe,gpt2,9,0.9964999570594127,0.486352021899246,0.5101479351601668,0.9964999999999999,0.48650000000000004
role_reversal,role_probe,gpt2,10,0.9968332971057542,0.47938837807023227,0.5174449190355219,0.9968333333333333,0.4796666666666667
role_reversal,role_probe,gpt2,11,0.9968332971057542,0.4791470758807813,0.5176862212249729,0.9968333333333333,0.4793333333333333
role_reversal,role_probe,gpt2,12,0.9971666278927721,0.4809412148311686,0.5162254130616035,0.9971666666666668,0.48116666666666663
role_reversal,role_probe,roberta-base,0,0.9686645571553634,0.4884215098629072,0.4802430472924562,0.9686666666666668,0.4885
role_reversal,role_probe,roberta-base,1,1.0,0.49189289901144295,0.508107100988557,1.0,0.492
role_reversal,role_probe,roberta-base,2,1.0,0.4798253307906938,0.5201746692093062,1.0,0.48
role_reversal,role_probe,roberta-base,3,1.0,0.4967109965889239,0.5032890034110761,1.0,0.4968333333333333
role_reversal,role_probe,roberta-base,4,0.9996666657407381,0.49117246747343407,0.5084941982673041,0.9996666666666666,0.4913333333333333
role_reversal,role_probe,roberta-base,5,1.0,0.49311587784621524,0.5068841221537848,1.0,0.49333333333333335
role_reversal,role_probe,roberta-base,6,1.0,0.4954441100435808,0.5045558899564192,1.0,0.4956666666666667
