model,phenomenon,layer,metric,n,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_q,pearson_q
bert-base-uncased,attachment,0,delta_cos,30,-0.4458782984538135,0.013529396609225992,-0.6487873362090013,-0.110158967556884,-0.3849897978179971,0.03565665632346192,-0.6179897793787041,-0.057492996554555156,1.0,1.0
bert-base-uncased,attachment,0,delta_frob,30,-0.3869173458139629,0.0346658183643554,-0.6268980843483385,-0.0736155132573375,-0.3620453366664584,0.049296573016476115,-0.6000694445046817,-0.015453540272512849,1.0,1.0
bert-base-uncased,attachment,0,delta_l2,30,-0.37379019032056227,0.04187436293569493,-0.6127693766843542,-0.06655053601184154,-0.3589965839905858,0.05138436691563492,-0.6102711738657093,-0.03269576193982851,1.0,1.0
bert-base-uncased,attachment,0,delta_token_aligned,30,0.14441477525589677,0.4464263609258698,-0.28682165302820245,0.5285396299805675,0.1055545771776966,0.5788025782071666,-0.2497311779656938,0.48342254107516985,1.0,1.0
bert-base-uncased,attachment,1,delta_cos,30,-0.4532206057636817,0.011896330682092915,-0.7073289860437791,0.00577642117302123,-0.40196141347190883,0.027672501319642582,-0.6535080558994293,-0.03069784664460696,1.0,1.0
bert-base-uncased,attachment,1,delta_frob,30,-0.3964845947328821,0.030071517884204296,-0.6611318611912971,0.030786797670223208,-0.42143867913740546,0.020370478134411618,-0.6831233294005956,-0.015246942318599523,1.0,1.0
bert-base-uncased,attachment,1,delta_l2,30,-0.3631104705971176,0.04858323061577153,-0.6621290011793595,0.08997497038788557,-0.3630210703371383,0.04864278713051739,-0.6265908951097551,-0.032644172128064676,1.0,1.0
bert-base-uncased,attachment,1,delta_token_aligned,30,0.18222271778127408,0.335162893650351,-0.15767776287851548,0.5085591522789301,0.06555428827322118,0.7307189558529399,-0.26553954149206804,0.46294677889034125,1.0,1.0
bert-base-uncased,attachment,2,delta_cos,30,-0.3789075560213795,0.038933705929074705,-0.6415255662198932,0.06219503983025622,-0.39164639805278073,0.03232879808629155,-0.6436769493315977,-0.01706146768258774,1.0,1.0
bert-base-uncased,attachment,2,delta_frob,30,-0.42763377725959567,0.01841265268024642,-0.6840995986004142,-0.0706582680808739,-0.42123034076348753,0.020439188480378696,-0.6684906804165088,-0.052396756863542816,1.0,1.0
bert-base-uncased,attachment,2,delta_l2,30,-0.3568806340917749,0.052874039234615235,-0.6201692114523756,0.051559163011279587,-0.35768914642061744,0.05230085581365586,-0.6041325686294119,-0.019371201415358974,1.0,1.0
bert-base-uncased,attachment,2,delta_token_aligned,30,0.16598064403520205,0.3807111299616501,-0.21683814565203913,0.47287016296861245,0.04546504505175964,0.8114435848652419,-0.28595164871608253,0.4527757121767392,1.0,1.0
bert-base-uncased,attachment,3,delta_cos,30,-0.3969295830546923,0.029870503310758068,-0.6501277999415402,0.02608067673019232,-0.3747283077355149,0.04132238557124238,-0.6259903484866943,-0.02681682993787336,1.0,1.0
bert-base-uncased,attachment,3,delta_frob,30,-0.39203471151478014,0.032142711420792225,-0.6592829549513864,-0.025373861764447316,-0.4130074208953549,0.023307630105299945,-0.6618303269156784,-0.058447547552595396,1.0,1.0
bert-base-uncased,attachment,3,delta_l2,30,-0.30192457634821607,0.10490210162756056,-0.6055381609600312,0.08825463821087993,-0.3372452079791307,0.06838088828503608,-0.5940811475808588,0.0016059497842866779,1.0,1.0
bert-base-uncased,attachment,3,delta_token_aligned,30,0.10768717387806674,0.5711112738057977,-0.2626590019465468,0.4472311025157369,0.01821742171374302,0.9238789252949675,-0.3138264074323324,0.439549400392659,1.0,1.0
bert-base-uncased,attachment,4,delta_cos,30,-0.3355211946448856,0.06989519925865281,-0.6105589112317454,0.027680968111158204,-0.362415289960794,0.04904787246919389,-0.6095263370725669,-0.03303766108983435,1.0,1.0
bert-base-uncased,attachment,4,delta_frob,30,-0.3424185136329437,0.06398947833102678,-0.6064980328578278,0.053407869670592995,-0.37927494287168045,0.038729138594854766,-0.6214339968871528,-0.018853099856200286,1.0,1.0
bert-base-uncased,attachment,4,delta_l2,30,-0.3085994011753689,0.09707033370825964,-0.5783139057253998,0.04480637323040769,-0.3303297325036623,0.0746126060090707,-0.5903077434868622,0.0020105128485604874,1.0,1.0
bert-base-uncased,attachment,4,delta_token_aligned,30,0.19534987327467476,0.30089311598480334,-0.2153145370661172,0.5391532235404893,0.011893848495880993,0.950260833814916,-0.3194875277033589,0.44093424560459143,1.0,1.0
bert-base-uncased,attachment,5,delta_cos,30,-0.3123818019107556,0.09283307728496262,-0.595963324825853,0.0754048301106071,-0.35579011912761904,0.05365498879356253,-0.6099426743166397,0.03045716820967093,1.0,1.0
bert-base-uncased,attachment,5,delta_frob,30,-0.2767827361659401,0.13868979867487372,-0.5789739520931955,0.12906842157652226,-0.36111173963892,0.049928628559223545,-0.6193296828967129,0.02677922141415608,1.0,1.0
bert-base-uncased,attachment,5,delta_l2,30,-0.22560907915776793,0.23063098104711974,-0.5319705349074385,0.1428651083554821,-0.32077246259394276,0.08393562642532706,-0.584244318211674,0.048466837174213004,1.0,1.0
bert-base-uncased,attachment,5,delta_token_aligned,30,0.12170430601508783,0.5217401085967139,-0.250648619399136,0.42049067734304235,-0.0055409150391468424,0.976817194820467,-0.3361789122909613,0.40640906859300896,1.0,1.0
bert-base-uncased,attachment,6,delta_cos,30,-0.20803204044626528,0.2699640305439217,-0.4888207696541852,0.1582055531143088,-0.3043119919846752,0.10204824380698829,-0.5534616842644647,0.05892071056083874,1.0,1.0
bert-base-uncased,attachment,6,delta_frob,30,-0.20536211051540412,0.2762972929965238,-0.503225570915355,0.16029698608726092,-0.3202162966253203,0.08450439016333318,-0.5756489211590506,0.08705381213243667,1.0,1.0
bert-base-uncased,attachment,6,delta_l2,30,-0.1753253987932161,0.3540832697252428,-0.46621083347688463,0.18156985332273784,-0.24782960764950795,0.18668477762500954,-0.5036823488365794,0.11100588744878252,1.0,1.0
bert-base-uncased,attachment,6,delta_token_aligned,30,0.0022249416090509657,0.9906899594489735,-0.3725914064830069,0.3446141722210012,-0.03635658112430274,0.8487336017556534,-0.3383788832953838,0.39427997130305387,1.0,1.0
