model,phenomenon,layer,n,adj_r2_cos,adj_r2_cos_frob,delta_adj_r2,beta_z_frob,p_z_frob,p_z_frob_q
bert-base-uncased,attachment,0,100,-0.02176990356868136,-0.030055087418092263,-0.008285183849410904,0.5808269145522577,0.6342338447438362,0.9246832325301471
bert-base-uncased,attachment,1,100,-0.02048386457987572,-0.02752871587084571,-0.007044851290969989,-0.6042542680687459,0.5601703533359972,0.9246832325301471
bert-base-uncased,attachment,2,100,-0.02256624574885091,-0.02037645901806151,0.0021897867307894003,-1.2679881502687196,0.2748970489732775,0.8387910461911011
bert-base-uncased,attachment,3,100,-0.022040510138645386,-0.024958419884252958,-0.002917909745607572,-0.7782061228991956,0.3960984143259939,0.8387910461911011
bert-base-uncased,attachment,4,100,-0.005865842291087997,-0.015069919744871818,-0.009204077453783821,-0.3085026272400271,0.7197223042849873,0.9246832325301471
bert-base-uncased,attachment,5,100,-0.003817237327554457,-0.013301774402634914,-0.009484537075080457,-0.2903653469513686,0.7508111717125127,0.9246832325301471
bert-base-uncased,attachment,6,100,-0.015529604028620803,-0.022263678058869196,-0.006734074030248394,-0.4665006940095087,0.545756954885645,0.9246832325301471
bert-base-uncased,attachment,7,100,-0.018435005465312182,-0.019349995410294696,-0.0009149899449825138,-1.059021403823788,0.3415269767520536,0.8387910461911011
bert-base-uncased,attachment,8,100,-0.014754572905985475,0.003967476941044934,0.01872204984703041,-2.1873620445519983,0.0972906337326643,0.8387910461911011
bert-base-uncased,attachment,9,100,-0.005478907612643358,0.021408644219434003,0.02688755183207736,-2.2929327956224674,0.05950681328183629,0.8387910461911011
bert-base-uncased,attachment,10,100,-0.011905811826301571,0.019021193602529074,0.030927005428830645,-2.5010725353587944,0.047631601262850966,0.8387910461911011
bert-base-uncased,attachment,11,100,-0.01628269549843675,-0.015338122085086558,0.0009445734133501915,-1.105145610500088,0.29927292091439506,0.8387910461911011
bert-base-uncased,attachment,12,100,-0.0209298581438635,-0.03167500347868235,-0.01074514533481885,-0.010500976224192535,0.990695257687736,0.9999586269981676
bert-base-uncased,negation,0,100,-0.014131638488442455,-0.010894701601103396,0.003236936887339059,0.37001470884931853,0.2551324183944253,0.8387910461911011
bert-base-uncased,negation,1,100,-0.01948516598172878,-0.023376992404737784,-0.003891826423009004,0.25152494784939305,0.4289056993536621,0.8387910461911011
bert-base-uncased,negation,2,100,-0.016873098586266178,-0.025659836911715583,-0.008786738325449406,0.120196965727563,0.6819099073243333,0.9246832325301471
bert-base-uncased,negation,3,100,-0.01652798450741333,-0.02374661006410661,-0.007218625556693281,0.15573548441312657,0.5753104586956779,0.9246832325301471
bert-base-uncased,negation,4,100,-0.008225321784386175,-0.010442988957577448,-0.0022176671731912734,0.3365534315342337,0.3771928612560023,0.8387910461911011
bert-base-uncased,negation,5,100,-0.012178035017846645,-0.019737741870441416,-0.007559706852594772,0.30676318363032307,0.5973344580104095,0.9246832325301471
bert-base-uncased,negation,6,100,-0.011972291733915563,-0.022513669744022025,-0.010541378010106461,3.207701138552288e-05,0.9999586269981676,0.9999586269981676
bert-base-uncased,negation,7,100,-0.01450997290910605,-0.025073247493009543,-0.010563274583903492,-0.01629999936279225,0.9835959561529493,0.9999586269981676
bert-base-uncased,negation,8,100,-0.009374423477273908,-0.011911702710281968,-0.0025372792330080607,0.7495863840061845,0.38650774150637285,0.8387910461911011
bert-base-uncased,negation,9,100,0.0011849781634780676,0.009690186833728354,0.008505208670250286,1.5820763616299218,0.1789432094361724,0.8387910461911011
bert-base-uncased,negation,10,100,-0.0034907481298209753,-0.005717710198683612,-0.002226962068862637,1.0408904017685676,0.37776597356913016,0.8387910461911011
bert-base-uncased,negation,11,100,0.007286400443179741,-0.00029158475710633347,-0.007577985200286075,0.68213615064929,0.6077877034103543,0.9246832325301471
bert-base-uncased,negation,12,100,0.01090726373270512,0.02287298020904316,0.01196571647633804,2.0496546762733536,0.14237786721144477,0.8387910461911011
bert-base-uncased,role_reversal,0,100,-0.009515142013342803,0.0014256668838218411,0.010940808897164644,-0.5112775753238574,0.15530696831920449,0.8387910461911011
bert-base-uncased,role_reversal,1,100,-0.005978384131629877,0.02056672312603347,0.026545107257663347,-0.8726941192900277,0.06075183549762747,0.8387910461911011
bert-base-uncased,role_reversal,2,100,-0.008236622710141361,-0.008529159719062207,-0.00029253700892084566,-0.39947698299740003,0.32664812081463895,0.8387910461911011
bert-base-uncased,role_reversal,3,100,-0.009778783188854723,-0.008936261853828897,0.0008425213350258254,-0.3478579641488632,0.30129847126141135,0.8387910461911011
bert-base-uncased,role_reversal,4,100,-0.009168596475126023,-0.013754681331115348,-0.004586084855989325,-0.27049383234299257,0.45382847055694764,0.8564182428252076
bert-base-uncased,role_reversal,5,100,-0.009329088272705288,-0.007345340299071745,0.001983747973633543,-0.5546506273250621,0.27827913006692456,0.8387910461911011
bert-base-uncased,role_reversal,6,100,-0.009731933999419962,-0.003940069912500066,0.005791864086919896,-0.6820700769954613,0.21563479754122797,0.8387910461911011
bert-base-uncased,role_reversal,7,100,-0.009806844323763775,-0.007481692367844683,0.0023251519559190914,-0.6152353017530929,0.2718465863689217,0.8387910461911011
bert-base-uncased,role_reversal,8,100,-0.00970773410949688,0.0010182156819308341,0.010725949791427714,-0.8924233416618189,0.15742260161578944,0.8387910461911011
bert-base-uncased,role_reversal,9,100,-0.009771742590854116,-0.01539258546717015,-0.0056208428763160345,-0.3859088682022338,0.49530823007444846,0.9198581415668329
bert-base-uncased,role_reversal,10,100,-0.006714221689885225,-0.010678654985220692,-0.003964433295335468,-0.4577138019088218,0.43173976788913543,0.8387910461911011
bert-base-uncased,role_reversal,11,100,-0.0066871822242666745,-0.015702990638984282,-0.009015808414717608,-0.2595957291855093,0.7014449519945066,0.9246832325301471
bert-base-uncased,role_reversal,12,100,-0.009806705906377777,-0.003443657234492692,0.006363048671885085,-0.8509815847777101,0.20776611222129032,0.8387910461911011
gpt2,attachment,0,100,-0.01651468830535019,-0.026888769822537517,-0.010374081517187328,0.14779407922160812,0.8624840680680198,0.98216679191396
gpt2,attachment,1,100,-0.02196868387197015,-0.021076108979158237,0.0008925748928119148,-0.9982152982594056,0.3004649577985137,0.8387910461911011
gpt2,attachment,2,100,-0.005201427248186619,0.047926403274876295,0.05312783052306291,-1.9758906473070463,0.013356767597931543,0.8387910461911011
gpt2,attachment,3,100,-0.019230238926667642,-0.002661991080918691,0.01656824784574895,-1.2489866281095603,0.11110839792518382,0.8387910461911011
gpt2,attachment,4,100,-0.021062351935589696,-0.007911367385515566,0.01315098455007413,-1.1132191375503897,0.13670781633625878,0.8387910461911011
gpt2,attachment,5,100,-0.022290685531015653,0.0023418384971526374,0.02463252402816829,-1.2392888333547856,0.06951085193779115,0.8387910461911011
gpt2,attachment,6,100,-0.0222870186937858,-0.002858048246761502,0.019428970447024296,-0.8903920807141997,0.09409338886494215,0.8387910461911011
gpt2,attachment,7,100,-0.018312214495225465,-0.014312422557476667,0.003999791937748798,-0.5936512719374545,0.24328122089573476,0.8387910461911011
gpt2,attachment,8,100,-0.019763272177107494,-0.01610778637468613,0.0036554858024213654,-0.6571443319312856,0.24899710266144087,0.8387910461911011
gpt2,attachment,9,100,-0.016491469586729313,0.003966713961088275,0.020458183547817588,-1.1838191838567624,0.08797998516813212,0.8387910461911011
gpt2,attachment,10,100,-0.01991815268428887,-0.020441133173195514,-0.0005229804889066436,-0.9430278028064953,0.3319922670322843,0.8387910461911011
gpt2,attachment,11,100,-0.021175437915408102,-0.02467643466514291,-0.0035009967497348082,-0.6515765968506186,0.41440775684779807,0.8387910461911011
gpt2,attachment,12,100,-0.01824509429645671,-0.028634183488399856,-0.010389089191943146,0.09720695551486759,0.8619324124703656,0.98216679191396
gpt2,negation,0,100,-0.0008788943034083729,-0.008121355901080207,-0.007242461597671834,0.18838917109717404,0.5831991266808374,0.9246832325301471
gpt2,negation,1,100,-0.0014675836069650838,-0.011681197717798408,-0.010213614110833324,0.05766956088487954,0.8858498861067619,0.98216679191396
gpt2,negation,2,100,-0.004993700550382174,-0.014096021806259573,-0.0091023212558774,-0.09529679089159346,0.7198993977190202,0.9246832325301471
gpt2,negation,3,100,-0.0014699765405703502,-0.009285964541998482,-0.007815988001428131,-0.16975186268891193,0.6190450545398698,0.9246832325301471
gpt2,negation,4,100,0.001462667422549968,-0.0006518274262683477,-0.0021144948488183157,-0.37837972925659336,0.3748136149647384,0.8387910461911011
gpt2,negation,5,100,0.0005281483665111608,0.0009951494541867723,0.00046700108767561144,-0.5026743688367366,0.309151365987764,0.8387910461911011
gpt2,negation,6,100,0.007396261689246009,0.0033725267651447677,-0.004023734924101241,-0.40401224445925155,0.43731840869792454,0.8387910461911011
gpt2,negation,7,100,0.008840634049956053,-0.001092333060488393,-0.009932967110444446,-0.12470747373970048,0.8467519129947214,0.98216679191396
gpt2,negation,8,100,0.023225691704242823,0.014408146090063578,-0.008817545614179245,0.23438293723587683,0.7169668155104344,0.9246832325301471
gpt2,negation,9,100,0.038618254350633374,0.030728343099973854,-0.00788991125065952,0.29187830482113303,0.6474783780251289,0.9246832325301471
gpt2,negation,10,100,0.015780106194827948,0.008004339497809876,-0.007775766697018072,0.30400666453110853,0.6255652216444836,0.9246832325301471
gpt2,negation,11,100,0.04038520566035686,0.038960221388941285,-0.0014249842714155747,0.338374233481772,0.3571320400000462,0.8387910461911011
gpt2,negation,12,100,-0.012763116139220543,-0.019134282185090168,-0.006371166045869625,0.7090376999445311,0.5319025529184179,0.9246832325301471
gpt2,role_reversal,0,100,-0.009544312194161186,-0.020156994656751026,-0.01061268246258984,-0.0305556678568408,0.9711706069774482,0.9999586269981676
gpt2,role_reversal,1,100,-0.005244925352071883,0.002107728695569966,0.007352654047641849,0.97545637655167,0.1944845031053378,0.8387910461911011
gpt2,role_reversal,2,100,0.0022068008956631635,-0.00676570544584254,-0.008972506341505704,0.1164761165346561,0.7047664457956612,0.9246832325301471
gpt2,role_reversal,3,100,0.012115586934052458,0.002180241394094118,-0.00993534553995834,-0.058821605504989924,0.8340751800834464,0.98216679191396
gpt2,role_reversal,4,100,0.030047651968803324,0.03353436371570051,0.0034867117468971864,-0.31896477719774674,0.24882688232982048,0.8387910461911011
gpt2,role_reversal,5,100,0.043089986594247565,0.043638588891629415,0.0005486022973818505,-0.29184505689132534,0.30695080951118825,0.8387910461911011
gpt2,role_reversal,6,100,0.05696551083315615,0.05988702237487353,0.002921511541717381,-0.38289921923123593,0.257383159196463,0.8387910461911011
gpt2,role_reversal,7,100,0.04228311847958044,0.042900006139647395,0.0006168876600669559,-0.35575775428997264,0.3054041745605155,0.8387910461911011
