model,phenomenon,layer,n,adj_r2_cos,adj_r2_cos_frob,delta_adj_r2,beta_z_frob,p_z_frob,p_z_frob_q
bert-base-uncased,attachment,0,30,0.14244806220709683,0.13058148110375367,-0.011866581103343155,-2.1992071984852437,0.4294302131218964,0.6699111324701583
bert-base-uncased,attachment,1,30,0.1065782083892387,0.07525578921284537,-0.031322419176393335,-0.7412317528076705,0.732638644145885,0.8529226006474482
bert-base-uncased,attachment,2,30,0.07325440213543732,0.15395049827977692,0.08069609614433959,-3.605745593515025,0.07389727449810334,0.30588603563148026
bert-base-uncased,attachment,3,30,0.046572819633730944,0.14309912193902197,0.09652630230529102,-3.373138064965943,0.05856061208443691,0.2864323942593974
bert-base-uncased,attachment,4,30,0.04598092474501092,0.1285716782974814,0.08259075355247048,-3.2589450175620716,0.07451070098715544,0.30588603563148026
bert-base-uncased,attachment,5,30,0.04458866821820495,0.14863828588414008,0.10404961766593512,-4.653078860678588,0.05163183578301697,0.2864323942593974
bert-base-uncased,attachment,6,30,0.048373406495331506,0.1469788697857496,0.09860546329041808,-3.7173012262435283,0.05631892131101129,0.2864323942593974
bert-base-uncased,attachment,7,30,0.10427662798896598,0.15101103921371484,0.04673441122474886,-4.291444113224356,0.13151054009882598,0.4459922664221055
bert-base-uncased,attachment,8,30,0.08833479227337959,0.07274653411458665,-0.015588258158792945,-2.1847723045690604,0.460094209348757,0.7036734966510401
bert-base-uncased,attachment,9,30,0.08470468851057766,0.17718542481157296,0.09248073630099529,-4.820384576073566,0.0587553629250046,0.2864323942593974
bert-base-uncased,attachment,10,30,0.07471353830013072,0.22944590785301833,0.1547323695528876,-5.155344372345956,0.019597073800235114,0.2547619594030565
bert-base-uncased,attachment,11,30,0.06113785128163696,0.1744488667155637,0.11331101543392674,-4.280248598591787,0.04252808080974569,0.2864323942593974
bert-base-uncased,attachment,12,30,0.06093620659507881,0.03399858936946232,-0.026937617225616495,-0.7930317414920763,0.6046346686972067,0.7860250693063687
bert-base-uncased,negation,0,30,-0.03561163593228289,-0.04244594108342081,-0.0068343051511379205,0.29349533223908997,0.374217119806748,0.6436370947895812
bert-base-uncased,negation,1,30,-0.02937076485196144,0.011008440207048942,0.04037920505901038,0.9751753401810372,0.1547491930316015,0.4849027012976318
bert-base-uncased,negation,2,30,-0.0166517490824718,-0.016918064567378988,-0.00026631548490718693,0.4687589475758593,0.3279372724190305,0.5948629592717297
bert-base-uncased,negation,3,30,-0.027600457847235083,0.033914048877698444,0.061514506724933526,0.6514552803174483,0.1068353002011692,0.3968168293186285
bert-base-uncased,negation,4,30,-0.03128138788686852,0.005725004343552276,0.03700639223042079,0.850504252079928,0.16446208631125553,0.4849027012976318
bert-base-uncased,negation,5,30,-0.029411394190898665,-0.05912160718492321,-0.029710212994024543,0.5652803869155505,0.64693555393371,0.7884527063567092
bert-base-uncased,negation,6,30,-0.014315491146299486,-0.05148423325098461,-0.037168742104685126,-0.17944190738190546,0.9201736980986494,0.9569806460225954
bert-base-uncased,negation,7,30,-0.019644145862052875,-0.05109417520313286,-0.03145002934107999,-0.9288394740136044,0.6903051643270957,0.8158151942047495
bert-base-uncased,negation,8,30,-0.003614054289591051,-0.03219324749890884,-0.028579193209317788,-1.0487856423498552,0.6392626402377368,0.7884527063567092
bert-base-uncased,negation,9,30,0.010066845898830001,-0.0008428169762382254,-0.010909662875068227,1.5523377754891508,0.4118545929536477,0.6583124578561491
bert-base-uncased,negation,10,30,-0.001340605978000342,-0.023875572241328413,-0.02253496626332807,1.0780981111026664,0.5408038561720098,0.7652607633396324
bert-base-uncased,negation,11,30,-0.015055884746062453,-0.049389299641988016,-0.03433341489592556,0.43509866076466874,0.7742806095717019,0.8604565816991244
bert-base-uncased,negation,12,30,-0.031157898795735273,-0.04216204895946918,-0.011004150163733906,1.096622689521855,0.40869584342611265,0.6583124578561491
bert-base-uncased,role_reversal,0,30,-0.015330436030468242,0.01325159966760503,0.02858203569807327,0.3407108127336613,0.18957557281980322,0.5098929199980915
bert-base-uncased,role_reversal,1,30,-0.029624796316999547,-0.024169037453314335,0.005455758863685212,0.7985966146450921,0.29321457632892217,0.5578228525281934
bert-base-uncased,role_reversal,2,30,-0.025918669218994772,-0.022273390123854764,0.0036452790951400083,0.8998352241756679,0.3035977025175031,0.5638243046753629
bert-base-uncased,role_reversal,3,30,-0.03558758543839091,0.050282234407354465,0.08586981984574538,-0.9504281174936106,0.07104216816465704,0.30588603563148026
bert-base-uncased,role_reversal,4,30,-0.035116984699154585,0.06371654119844461,0.0988335258975992,-1.049658194595715,0.056935411163934385,0.2864323942593974
bert-base-uncased,role_reversal,5,30,-0.03570683555070375,0.08079487907133354,0.11650171462203729,-1.7840138277466873,0.04218582397562218,0.2864323942593974
bert-base-uncased,role_reversal,6,30,-0.03299585215061773,0.18239167750978913,0.21538752966040686,-2.575787808842215,0.007435288754119236,0.17095619348887947
bert-base-uncased,role_reversal,7,30,-0.03562484161682811,0.0922043140515243,0.1278291556683524,-2.5783182543679417,0.03476165058011761,0.2864323942593974
bert-base-uncased,role_reversal,8,30,-0.03570671252250901,0.15855760669736407,0.19426431921987308,-2.5583387037568803,0.010958730351851248,0.17095619348887947
bert-base-uncased,role_reversal,9,30,-0.03530872608552271,-0.022378898000437575,0.012929828085085138,-0.899866243213596,0.2547414687521222,0.530297298642668
bert-base-uncased,role_reversal,10,30,-0.03552235899405565,-0.04712736230991821,-0.011605003315862561,0.7550877934498461,0.4135552619865552,0.6583124578561491
bert-base-uncased,role_reversal,11,30,-0.03467268418444425,-0.022597358173400472,0.012075326011043774,1.3698960067862829,0.2588013873401296,0.530297298642668
bert-base-uncased,role_reversal,12,30,-0.034731245738597316,0.015574876440691998,0.050306122179289314,-1.0100201938743771,0.13061362693303968,0.4459922664221055
gpt2,attachment,0,30,0.10320381609556539,0.10320381609556506,-3.3306690738754696e-16,2.1597397461845915,0.2033549337598165,0.5287228277755229
gpt2,attachment,1,30,0.08794234352751751,0.16369632821872515,0.07575398469120764,19.408963676944303,0.07893769330282299,0.30785700388100967
gpt2,attachment,2,30,0.10749077871533375,0.10168025128679126,-0.005810527428542489,5.933257126368945,0.37045644462367944,0.6436370947895812
gpt2,attachment,3,30,0.07691299734484491,0.04011746013988282,-0.03679553720496209,0.17945411453373394,0.9544260625716346,0.979542537902467
gpt2,attachment,4,30,0.07634517584372957,0.05673686397458422,-0.019608311869145356,1.5488063546316606,0.5040751664006141,0.7418464713065641
gpt2,attachment,5,30,0.059180148421761225,0.034723313880529516,-0.02445683454123171,1.1337602516151248,0.5643441261274962,0.7652607633396324
gpt2,attachment,6,30,0.0977339983191069,0.12978101630810623,0.03204701798899934,-2.5425464544986442,0.17406763636325243,0.4849027012976318
gpt2,attachment,7,30,0.10435976319516882,0.11945448601288666,0.015094722817717843,2.3998838614548887,0.2404836098977605,0.530297298642668
gpt2,attachment,8,30,0.1567527085278333,0.17323333965842458,0.016480631130591283,2.085848192414532,0.22934357771963731,0.530297298642668
gpt2,attachment,9,30,0.21847450546193814,0.32342056997328794,0.1049460645113498,3.119747731339874,0.033972426310954734,0.2864323942593974
gpt2,attachment,10,30,0.21907584706114047,0.31600740521043924,0.09693155814929877,3.3163942022831785,0.04018590237052795,0.2864323942593974
gpt2,attachment,11,30,0.10798916977911344,0.34557583649153323,0.2375866667124198,8.07944982842829,0.0034439485216144847,0.1343139923429649
gpt2,attachment,12,30,0.0462810951824798,0.021171584415793143,-0.02510951076668666,0.6416981693309595,0.5690400547910087,0.7652607633396324
gpt2,negation,0,30,-2.220446049250313e-16,-2.220446049250313e-16,0.0,-2.2898349882893854e-16,0.9999999999999961,1.0
gpt2,negation,1,30,-0.021749394076685524,-0.05103395778817843,-0.029284563711492906,-1.2314537061130624,0.6429207745539706,0.7884527063567092
gpt2,negation,2,30,-0.03288561304468929,-0.015801214965693422,0.017084398078995866,0.9946421473041952,0.23570534466001086,0.530297298642668
gpt2,negation,3,30,-0.0285969579514862,-0.019213626009301876,0.009383331942184325,0.43002885165921223,0.2719473326372656,0.530297298642668
gpt2,negation,4,30,-0.023000482117819576,-0.054321002652018224,-0.03132052053419865,0.3538673400021758,0.6849445646828104,0.8158151942047495
gpt2,negation,5,30,-0.02774397251644123,-0.04974816133453741,-0.022004188818096182,-0.5366464130545036,0.525830666677415,0.7595331852007106
gpt2,negation,6,30,-0.010978956547572638,-0.03466133767722179,-0.023682381129649155,-0.6665516010838108,0.5539978940479269,0.7652607633396324
gpt2,negation,7,30,-0.003156144784024484,-0.03643599916579232,-0.03327985438176784,-0.5088683165599492,0.7531688949686545,0.8589902908056621
gpt2,negation,8,30,-0.02660049972023426,-0.060877017181880655,-0.034276517461646394,-0.5014961226482884,0.7598760264819319,0.8589902908056621
gpt2,negation,9,30,-0.03376751256893207,-0.06930818769621117,-0.0355406751272791,-0.24818848078223302,0.7942676138761149,0.8604565816991244
gpt2,negation,10,30,-0.029270386844554075,-0.05613279081654987,-0.026862403971995796,0.5663323528062425,0.5960084773764706,0.7860250693063687
gpt2,negation,11,30,-0.03388755727422521,-0.04139991740099691,-0.0075123601267717,-1.6166546500754144,0.37958085077334275,0.6436370947895812
gpt2,negation,12,30,0.021195453914525597,0.03638827295576752,0.015192819041241923,0.9870188001056324,0.24033054833830933,0.530297298642668
gpt2,role_reversal,0,30,0.0,0.0,0.0,0.0,,1.0
gpt2,role_reversal,1,30,-0.03563777205829988,-0.023679564833473776,0.0119582072248261,3.482691998503401,0.25942316020820744,0.530297298642668
gpt2,role_reversal,2,30,-0.028630775876697268,-0.06374817247027753,-0.03511739659358026,0.27884436502123455,0.7853900744720467,0.8604565816991244
gpt2,role_reversal,3,30,-0.024856781277209805,-0.0622540134033005,-0.037397232126090696,0.11059477954310468,0.9058806974771068,0.9548472216650584
gpt2,role_reversal,4,30,-0.017365826001741302,-0.007466003499248641,0.009899822502492661,1.1446316815042326,0.2687377162360419,0.530297298642668
gpt2,role_reversal,5,30,-0.017904838621489283,0.02066576960955402,0.0385706082310433,1.5568671156425993,0.1585510394987594,0.4849027012976318
gpt2,role_reversal,6,30,-0.02241724132478473,-0.051480788621854456,-0.029063547297069725,1.0430428193102115,0.6382823198923447,0.7884527063567092
gpt2,role_reversal,7,30,-0.03570903520944535,-0.01965409792407602,0.01605493728536933,-2.420869666230649,0.2404243079841134,0.530297298642668
gpt2,role_reversal,8,30,-0.03551351486034893,0.16984406805483243,0.20535758291518136,-5.518432061238434,0.008987797389844883,0.17095619348887947
gpt2,role_reversal,9,30,-0.027857408788348748,0.2734903404410536,0.30134774922940233,-3.8888474715181824,0.0014300583105672886,0.1115445482242485
gpt2,role_reversal,10,30,-0.02984276354972537,0.004926233861569873,0.034768997411295244,-2.032804614040286,0.1709703507043782,0.4849027012976318
gpt2,role_reversal,11,30,-0.03258450738113816,-0.051758109867656055,-0.019173602486517893,0.8348324371181773,0.4901091201614125,0.7351636802421188
gpt2,role_reversal,12,30,-0.012759675147589133,-0.04815904222085621,-0.035399367073267074,0.21725222906479053,0.8174035120235429,0.8733900539429637
