model,phenomenon,layer,metric,spearman_ci_lo,spearman_ci_hi,pearson_ci_lo,pearson_ci_hi
google/gemma-3-4b-it,negation,0,delta_cos,0.0021430629314428723,0.0979215401687223,0.05400764033199048,0.15660190444958472
google/gemma-3-4b-it,negation,0,delta_frob,0.033171136725833175,0.1311073329577689,0.0662396558973459,0.16971214425749748
google/gemma-3-4b-it,negation,0,delta_l2,-0.06346181190624939,0.03521185587570305,0.04410000623556204,0.14778114642983076
google/gemma-3-4b-it,negation,0,delta_token_aligned,-0.1563647588115014,-0.043716981423013064,-0.09358832482347833,-0.030111670535707506
google/gemma-3-4b-it,negation,1,delta_cos,0.04493496759703755,0.13753927790771467,0.07697798957832086,0.18770658251944863
google/gemma-3-4b-it,negation,1,delta_frob,0.062049545149567946,0.15462953812307428,0.09307964239283507,0.2044294225927234
google/gemma-3-4b-it,negation,1,delta_l2,0.05044378399856332,0.1401624135046662,0.07725293151344514,0.18270847907801918
google/gemma-3-4b-it,negation,1,delta_token_aligned,-0.08539393462764552,0.005869409096882662,-0.12493022841727186,-0.05755022713452293
google/gemma-3-4b-it,negation,2,delta_cos,0.04420113972235434,0.1381616931284193,0.08353297847722015,0.19363611556546786
google/gemma-3-4b-it,negation,2,delta_frob,0.06245092103178118,0.15641792410942013,0.10126716402502565,0.21443265834373473
google/gemma-3-4b-it,negation,2,delta_l2,0.039159192694914365,0.13080076325003573,0.07193702363341371,0.17932564658424405
google/gemma-3-4b-it,negation,2,delta_token_aligned,-0.13695797503635757,-0.04279248252996251,-0.14081037404186864,-0.0691470497353219
google/gemma-3-4b-it,negation,3,delta_cos,0.04365400392954316,0.1418364054337158,0.0918445429530803,0.20624955895910047
google/gemma-3-4b-it,negation,3,delta_frob,0.07774437298011597,0.1764161706071747,0.12693085101328216,0.242272768263731
google/gemma-3-4b-it,negation,3,delta_l2,0.043360852038375156,0.13271409728439276,0.07796750847680133,0.18508773964837388
google/gemma-3-4b-it,negation,3,delta_token_aligned,-0.1609909340318017,-0.07391984060023558,-0.15210343952059793,-0.07134153120693897
google/gemma-3-4b-it,negation,4,delta_cos,0.062280895605389894,0.16122174895977912,0.10569684539710335,0.2101197331451236
google/gemma-3-4b-it,negation,4,delta_frob,0.09286138631545565,0.1866816985749211,0.13150283612234348,0.23922378421456708
google/gemma-3-4b-it,negation,4,delta_l2,0.04461508748327508,0.1370675096914719,0.07126706449162652,0.18055826436956687
google/gemma-3-4b-it,negation,4,delta_token_aligned,-0.12705312130782903,-0.030743326836956932,-0.1502252488647802,-0.05355247853455016
google/gemma-3-4b-it,negation,5,delta_cos,0.04754148991151517,0.1473556022796239,0.09090130204312655,0.2033631619019472
google/gemma-3-4b-it,negation,5,delta_frob,0.04222626966801475,0.1404965329348023,0.08486313891997231,0.19669702382200774
google/gemma-3-4b-it,negation,5,delta_l2,-0.06561711276906657,0.0443248856427782,-0.014068598097287638,0.10554863683202832
google/gemma-3-4b-it,negation,5,delta_token_aligned,-0.12137157027292914,-0.021333690198419044,-0.14286345061161881,-0.04761059386032637
google/gemma-3-4b-it,negation,6,delta_cos,0.043259120324694644,0.14032393434881943,0.09642368703318768,0.20219459887087896
google/gemma-3-4b-it,negation,6,delta_frob,0.03891119744727105,0.14089015838842026,0.08479959078342961,0.19278136615893987
google/gemma-3-4b-it,negation,6,delta_l2,0.0730687415123776,0.17573543623186894,0.10480401864295796,0.224274166284613
google/gemma-3-4b-it,negation,6,delta_token_aligned,-0.1250330604164303,-0.028306296079657102,-0.14634613738785493,-0.04039851481137359
google/gemma-3-4b-it,negation,7,delta_cos,0.02900057249206553,0.12892617242829724,0.07931978133027748,0.1824281898073163
google/gemma-3-4b-it,negation,7,delta_frob,0.03461352797651904,0.14025791063373708,0.08197264632632631,0.1873272004674802
google/gemma-3-4b-it,negation,7,delta_l2,-0.0014589444759235952,0.10829311857123809,0.04725880533652601,0.16528906884235503
google/gemma-3-4b-it,negation,7,delta_token_aligned,-0.07797472336379584,0.015160573770703005,-0.13362677516970253,-0.021811570228610733
google/gemma-3-4b-it,negation,8,delta_cos,-0.0052385620147862464,0.09863225276024236,0.06374470762523465,0.16773851489066685
google/gemma-3-4b-it,negation,8,delta_frob,-0.002632639846629534,0.1084502314574582,0.05508416510115469,0.16443292533253856
google/gemma-3-4b-it,negation,8,delta_l2,-0.025258348462581095,0.0729438070472725,-0.005902719241367994,0.08395539802265621
google/gemma-3-4b-it,negation,8,delta_token_aligned,-0.13589077659816376,-0.04335792544826813,-0.13266455803269148,-0.04689068336903988
google/gemma-3-4b-it,negation,9,delta_cos,0.05463073257521534,0.15152853420246945,0.11127972490559922,0.22061503156616852
google/gemma-3-4b-it,negation,9,delta_frob,0.0013773196586749443,0.1011566145113352,0.03148095268657967,0.13585717123566535
google/gemma-3-4b-it,negation,9,delta_l2,0.012025433451017389,0.11246945944384155,0.007131809627015813,0.11429982908170037
google/gemma-3-4b-it,negation,9,delta_token_aligned,-0.1300779872742759,-0.034894554387838096,-0.0936027123988379,-0.03128487564424444
google/gemma-3-4b-it,negation,10,delta_cos,0.07634485777313954,0.17841868918731213,0.13439623306133533,0.24088766683438012
google/gemma-3-4b-it,negation,10,delta_frob,0.026040125495795697,0.1238126416542165,0.06704944645571927,0.16402935735105983
google/gemma-3-4b-it,negation,10,delta_l2,0.023510266645248315,0.12032176755343456,0.05104869983185907,0.16221423720110728
google/gemma-3-4b-it,negation,10,delta_token_aligned,-0.1405783575599622,-0.046377770800988156,-0.09818235310818697,-0.03222576272840207
