model,phenomenon,layer,n,adj_r2_cos,adj_r2_cos_frob,delta_adj_r2,beta_z_frob,p_z_frob,p_z_frob_q
google/gemma-3-4b-it,negation,0,1500,0.012694140920891939,0.020152854146918697,0.007458713226026759,0.5318160784443399,0.0004451239894502426,0.0015579339630758492
google/gemma-3-4b-it,negation,1,1500,0.020631886688124546,0.030673011209542356,0.01004112452141781,0.5838198524475688,5.125759523339789e-05,0.0002110606862551678
google/gemma-3-4b-it,negation,2,1500,0.023705388313479347,0.03617191109378892,0.012466522780309575,0.6056935326991381,6.95406322046599e-06,4.0565368786051605e-05
google/gemma-3-4b-it,negation,3,1500,0.02759498192691967,0.08160642169128696,0.054011439764367286,1.492124512522008,1.466341619465073e-20,5.132195668127755e-19
google/gemma-3-4b-it,negation,4,1500,0.029600731215567944,0.04758718812075147,0.017986456905183523,0.5553878064266516,7.388819365607558e-08,8.620289259875484e-07
google/gemma-3-4b-it,negation,5,1500,0.02394525946145143,0.023565394752690927,-0.00037986470876050227,-0.06531957744845515,0.5180321749103278,0.6598235804754442
google/gemma-3-4b-it,negation,6,1500,0.02458236667907987,0.02403911438051387,-0.0005432522985659993,0.03379087374085771,0.6826021647116381,0.7706798633841075
google/gemma-3-4b-it,negation,7,1500,0.01810563829577172,0.01958372507485573,0.001478086779084009,0.2006242365888391,0.07139033538319307,0.13506279667090582
google/gemma-3-4b-it,negation,8,1500,0.014498166970148718,0.013851392266839957,-0.0006467747033087612,-0.011704259507923535,0.8908603847555223,0.91834581741899
google/gemma-3-4b-it,negation,9,1500,0.028173182486242787,0.033034938143762016,0.004861755657519229,-0.14747209098517572,0.0035619645489279187,0.008904911372319796
google/gemma-3-4b-it,negation,10,1500,0.03537240948633702,0.03531002219725776,-6.238728907925761e-05,-0.04370413046551844,0.34206471625701945,0.4886638803671706
google/gemma-3-4b-it,negation,11,1500,0.015404355940062842,0.014756040814471683,-0.000648315125591159,-0.006377684854039136,0.9006365071036603,0.91834581741899
google/gemma-3-4b-it,negation,12,1500,0.017499631999304044,0.019217480933103825,0.0017178489337997815,-0.11181389369646796,0.057272029346807994,0.11136227928545998
google/gemma-3-4b-it,negation,13,1500,0.016491348401257988,0.016070601328972645,-0.00042074707228534347,-0.03368868692971311,0.5484407871337419,0.6855509839171774
