model,phenomenon,layer,metric,spearman_ci_lo,spearman_ci_hi,pearson_ci_lo,pearson_ci_hi
mistralai/Mistral-7B-Instruct-v0.3,negation,0,delta_cos,0.009971720749882064,0.0988028851393895,0.021312699194729813,0.10623652685635429
mistralai/Mistral-7B-Instruct-v0.3,negation,0,delta_frob,0.12209970263276504,0.21699212368843307,0.08016733391030775,0.17967810677190588
mistralai/Mistral-7B-Instruct-v0.3,negation,0,delta_l2,-0.006815048953924633,0.09369274254164442,0.04591096643938251,0.15055748318325557
mistralai/Mistral-7B-Instruct-v0.3,negation,0,delta_token_aligned,0.016864688976376448,0.12058595547180864,-0.07006484900241396,0.08402296102045502
mistralai/Mistral-7B-Instruct-v0.3,negation,1,delta_cos,0.015537159378020525,0.10734478477735658,0.025134055268096228,0.11679261462366167
mistralai/Mistral-7B-Instruct-v0.3,negation,1,delta_frob,0.032504910381829746,0.13480723311819193,0.09832204373861912,0.1968529939619756
mistralai/Mistral-7B-Instruct-v0.3,negation,1,delta_l2,-0.03122724931648409,0.07503577696075857,0.03334361305435096,0.1355695138882688
mistralai/Mistral-7B-Instruct-v0.3,negation,1,delta_token_aligned,-0.10292194086552546,-0.004875859477709339,-0.15526509453764692,-0.06111911931814073
mistralai/Mistral-7B-Instruct-v0.3,negation,2,delta_cos,0.03538878419721046,0.13268766456985734,0.06001484050123218,0.1576826410404815
mistralai/Mistral-7B-Instruct-v0.3,negation,2,delta_frob,0.09848955969767534,0.19597229998133023,0.12753909693628424,0.22404414807937684
mistralai/Mistral-7B-Instruct-v0.3,negation,2,delta_l2,0.04909418645046624,0.1465041612807607,0.07338675485990878,0.17323109716152701
mistralai/Mistral-7B-Instruct-v0.3,negation,2,delta_token_aligned,-0.13858079607887996,-0.04366667798772181,-0.15937749212912738,-0.06165199617218491
mistralai/Mistral-7B-Instruct-v0.3,negation,3,delta_cos,0.005152005258659897,0.10407761326942179,0.035067372388258765,0.1344920225256278
mistralai/Mistral-7B-Instruct-v0.3,negation,3,delta_frob,0.07794229270157232,0.17415568292991448,0.12055848741778231,0.2129755699826826
mistralai/Mistral-7B-Instruct-v0.3,negation,3,delta_l2,-0.010549723218718122,0.0843304837994371,0.022869945449204426,0.12145359868901927
mistralai/Mistral-7B-Instruct-v0.3,negation,3,delta_token_aligned,-0.13516078106843582,-0.04016518847023916,-0.160136721631173,-0.06428472285771487
mistralai/Mistral-7B-Instruct-v0.3,negation,4,delta_cos,0.019578706846633646,0.11747046433124392,0.041469700203296975,0.14201413031346055
mistralai/Mistral-7B-Instruct-v0.3,negation,4,delta_frob,0.05460713647210482,0.15087817325602218,0.07339237302262365,0.1760925617152557
mistralai/Mistral-7B-Instruct-v0.3,negation,4,delta_l2,0.0053123447961650385,0.10342937088631257,0.033347403363507715,0.1325707111304329
mistralai/Mistral-7B-Instruct-v0.3,negation,4,delta_token_aligned,-0.13189483839515895,-0.03195692942657216,-0.15205457388240257,-0.05124552110171443
mistralai/Mistral-7B-Instruct-v0.3,negation,5,delta_cos,0.01475262459650491,0.10542005214402049,0.03264087426174987,0.14122527819162634
mistralai/Mistral-7B-Instruct-v0.3,negation,5,delta_frob,0.058571633956486006,0.15803798103763178,0.0806555809000556,0.1866717736470922
mistralai/Mistral-7B-Instruct-v0.3,negation,5,delta_l2,-0.022641648489482823,0.07622060324989885,0.019229784516713342,0.12445266096495343
mistralai/Mistral-7B-Instruct-v0.3,negation,5,delta_token_aligned,-0.13910014638756776,-0.03724170792381721,-0.15038787799254805,-0.04420411996376921
mistralai/Mistral-7B-Instruct-v0.3,negation,6,delta_cos,-0.019250085203745358,0.08805147501305602,0.019340573153789526,0.12137279932215939
mistralai/Mistral-7B-Instruct-v0.3,negation,6,delta_frob,-0.009442510108958342,0.09988370277835829,0.03427491551689273,0.13765789265814135
mistralai/Mistral-7B-Instruct-v0.3,negation,6,delta_l2,-0.042181262919163645,0.05836475101948875,0.0034344075628893436,0.11621289553799051
mistralai/Mistral-7B-Instruct-v0.3,negation,6,delta_token_aligned,-0.14572093364692648,-0.050582061217337174,-0.14581166499249973,-0.03338080932398197
mistralai/Mistral-7B-Instruct-v0.3,negation,7,delta_cos,-0.033557402027016736,0.06977261288060299,0.01234401291685947,0.11784939919494904
mistralai/Mistral-7B-Instruct-v0.3,negation,7,delta_frob,-0.02303922356145856,0.08115363476854758,0.03144564280049375,0.135133357242291
mistralai/Mistral-7B-Instruct-v0.3,negation,7,delta_l2,-0.0705639263424601,0.03548589693408201,-0.02963984413973247,0.0839665889613928
mistralai/Mistral-7B-Instruct-v0.3,negation,7,delta_token_aligned,-0.13056416581743663,-0.037083523178121754,-0.14410370172465012,-0.03453673944922891
mistralai/Mistral-7B-Instruct-v0.3,negation,8,delta_cos,-0.0533333227322512,0.048639891208394195,-0.006257234399011668,0.10639106295029319
mistralai/Mistral-7B-Instruct-v0.3,negation,8,delta_frob,-0.046608546593397866,0.058853451888680706,0.020024220113950143,0.1279195927721639
mistralai/Mistral-7B-Instruct-v0.3,negation,8,delta_l2,-0.0841030775792538,0.022081186045981943,-0.0429217895383513,0.0731407401831316
mistralai/Mistral-7B-Instruct-v0.3,negation,8,delta_token_aligned,-0.14658567476364237,-0.05056626499622716,-0.14335067124438364,-0.03615774190666993
mistralai/Mistral-7B-Instruct-v0.3,negation,9,delta_cos,-0.06675686171120272,0.03207766410273612,-0.01813384456309409,0.0980633344335274
mistralai/Mistral-7B-Instruct-v0.3,negation,9,delta_frob,-0.0675972858787488,0.037282661704093396,0.0019436977970243943,0.1159294606692371
mistralai/Mistral-7B-Instruct-v0.3,negation,9,delta_l2,-0.100712024722377,0.002397975129946163,-0.05171421541972464,0.06216972566046457
mistralai/Mistral-7B-Instruct-v0.3,negation,9,delta_token_aligned,-0.15424900827473662,-0.06275076975669037,-0.14406539533554552,-0.040723327229086274
mistralai/Mistral-7B-Instruct-v0.3,negation,10,delta_cos,-0.07804316193826412,0.022477618371284598,-0.022463060212761562,0.09553033253632132
mistralai/Mistral-7B-Instruct-v0.3,negation,10,delta_frob,-0.05884051823959557,0.04428548151634196,0.0011693581903350877,0.11474632811396271
mistralai/Mistral-7B-Instruct-v0.3,negation,10,delta_l2,-0.09157111509595217,0.015735783770716202,-0.054582908462219075,0.06118850440979621
mistralai/Mistral-7B-Instruct-v0.3,negation,10,delta_token_aligned,-0.1336004858080979,-0.04339221097562846,-0.1447321267400451,-0.03904108897888351
mistralai/Mistral-7B-Instruct-v0.3,negation,11,delta_cos,-0.09075348154608708,0.013913543775596698,-0.028142430197124913,0.08871618983487634
mistralai/Mistral-7B-Instruct-v0.3,negation,11,delta_frob,-0.06793436452277442,0.03561342796425903,-0.010562488480847319,0.10341292037241254
mistralai/Mistral-7B-Instruct-v0.3,negation,11,delta_l2,-0.07467158997734427,0.02877334039655216,-0.04873674796824769,0.0646094884359979
mistralai/Mistral-7B-Instruct-v0.3,negation,11,delta_token_aligned,-0.14399073482533475,-0.05279606897491198,-0.1478649200649544,-0.04570233071549876
mistralai/Mistral-7B-Instruct-v0.3,negation,12,delta_cos,-0.07411975479994734,0.02546961527796686,-0.02359387538860809,0.09227915049496946
mistralai/Mistral-7B-Instruct-v0.3,negation,12,delta_frob,-0.041786831837489775,0.06192771662183221,0.012411288479364211,0.12411323445609763
mistralai/Mistral-7B-Instruct-v0.3,negation,12,delta_l2,-0.06822423813271486,0.036763737068889885,-0.036986946943235975,0.07481145080687704
mistralai/Mistral-7B-Instruct-v0.3,negation,12,delta_token_aligned,-0.12443988843157901,-0.029436519148231702,-0.14279441332313075,-0.03878917697659231
mistralai/Mistral-7B-Instruct-v0.3,negation,13,delta_cos,-0.07592978495531287,0.02801318317071911,-0.027776186874538415,0.09265945639987233
mistralai/Mistral-7B-Instruct-v0.3,negation,13,delta_frob,-0.04571515546176308,0.056429665790030344,0.006280794452033582,0.11929512825005324
mistralai/Mistral-7B-Instruct-v0.3,negation,13,delta_l2,-0.06316135216270534,0.039318649357458775,-0.04002833098763268,0.07479680461474657
mistralai/Mistral-7B-Instruct-v0.3,negation,13,delta_token_aligned,-0.12599941111674814,-0.02797306285898884,-0.14451218559126416,-0.04140921164900965
mistralai/Mistral-7B-Instruct-v0.3,negation,14,delta_cos,-0.07131323400256538,0.03715999936798048,-0.02770366053177181,0.0904904172584638
mistralai/Mistral-7B-Instruct-v0.3,negation,14,delta_frob,-0.04103190554022972,0.06255871771582239,0.0047975715210417935,0.12258375134833285
mistralai/Mistral-7B-Instruct-v0.3,negation,14,delta_l2,-0.0533829129166458,0.049784379593337875,-0.037175824194099094,0.08100532372780161
mistralai/Mistral-7B-Instruct-v0.3,negation,14,delta_token_aligned,-0.12246339545268266,-0.027542369734800943,-0.14310862063584204,-0.044519371643021645
mistralai/Mistral-7B-Instruct-v0.3,negation,15,delta_cos,-0.0853871715275615,0.02158197229647451,-0.04697465770736754,0.07818539861612507
mistralai/Mistral-7B-Instruct-v0.3,negation,15,delta_frob,-0.05444222379964457,0.05114156348739123,-0.0072209213487776204,0.11236137891614739
mistralai/Mistral-7B-Instruct-v0.3,negation,15,delta_l2,-0.065881628601516,0.03457660470731059,-0.05534818273202032,0.06264173911320602
mistralai/Mistral-7B-Instruct-v0.3,negation,15,delta_token_aligned,-0.13655355489665802,-0.045033258494452166,-0.15158644247408823,-0.053333202672017646
mistralai/Mistral-7B-Instruct-v0.3,negation,16,delta_cos,-0.09024986402564875,0.018470915111912324,-0.05548452238291879,0.07157592971851419
mistralai/Mistral-7B-Instruct-v0.3,negation,16,delta_frob,-0.06272984173669077,0.04330930853579662,-0.019257368429820242,0.10501381215594534
mistralai/Mistral-7B-Instruct-v0.3,negation,16,delta_l2,-0.06627121047106065,0.03296779146709271,-0.05493343165173817,0.058428871556957473
mistralai/Mistral-7B-Instruct-v0.3,negation,16,delta_token_aligned,-0.13544968666481097,-0.04616113308319689,-0.152498317934864,-0.05233829747114944
mistralai/Mistral-7B-Instruct-v0.3,negation,17,delta_cos,-0.07813733823777819,0.028316355273463514,-0.05102803411607269,0.07560577319620357
mistralai/Mistral-7B-Instruct-v0.3,negation,17,delta_frob,-0.059501074065242895,0.05095119328180514,-0.024154318320171873,0.10305295765694918
mistralai/Mistral-7B-Instruct-v0.3,negation,17,delta_l2,-0.052271674042706245,0.04349113341820918,-0.0428369149699373,0.06482523478734885
mistralai/Mistral-7B-Instruct-v0.3,negation,17,delta_token_aligned,-0.1337662235282657,-0.04143651926937939,-0.14942659135190656,-0.04759643017038472
