model,phenomenon,layer,n,adj_r2_cos,adj_r2_cos_frob,delta_adj_r2,beta_z_frob,p_z_frob,p_z_frob_q
mistralai/Mistral-7B-Instruct-v0.3,negation,0,1500,0.00581017510700399,0.02807621752929701,0.02226604242229302,0.35599651910444186,3.559389498795315e-09,3.3559958131498686e-08
mistralai/Mistral-7B-Instruct-v0.3,negation,1,1500,0.006549307233020163,0.02902466372132606,0.022475356488305898,0.2721791027291788,2.9774624366939484e-09,3.275208680363343e-08
mistralai/Mistral-7B-Instruct-v0.3,negation,2,1500,0.014949859617154337,0.04232394751726498,0.027374087900110644,0.36222146696843127,5.1514303421001096e-11,1.133314675262024e-09
mistralai/Mistral-7B-Instruct-v0.3,negation,3,1500,0.01147433614716864,0.039483256326859895,0.028008920179691255,0.3328263158475607,3.3582960873833875e-11,1.108237708836518e-09
mistralai/Mistral-7B-Instruct-v0.3,negation,4,1500,0.012246534162289713,0.021563252510509612,0.009316718348219899,0.2859756049714266,9.863230263467699e-05,0.00032548659869443403
mistralai/Mistral-7B-Instruct-v0.3,negation,5,1500,0.011885935435049677,0.030182188366125184,0.018296252931075507,0.40889061341599087,7.498665976698002e-08,5.499021716245202e-07
mistralai/Mistral-7B-Instruct-v0.3,negation,6,1500,0.008828748920646445,0.011717572536501297,0.002888823615854852,0.21263517027885612,0.02058611440068606,0.031597291870820464
mistralai/Mistral-7B-Instruct-v0.3,negation,7,1500,0.008440699442121224,0.012822747521609279,0.0043820480794880545,0.26987678615963623,0.005776644785938682,0.011553289571877364
mistralai/Mistral-7B-Instruct-v0.3,negation,8,1500,0.007065888165605383,0.013342531505398436,0.006276643339793053,0.3109983109613473,0.0012090153421199423,0.003191800503196648
mistralai/Mistral-7B-Instruct-v0.3,negation,9,1500,0.006641411356355764,0.010338419102952634,0.00369700774659687,0.26706140619855007,0.010360554012077439,0.017306049571858693
mistralai/Mistral-7B-Instruct-v0.3,negation,10,1500,0.0063317081640882344,0.011877924452354027,0.005546216288265793,0.31175671781581504,0.0022124798478856777,0.005408284072609435
mistralai/Mistral-7B-Instruct-v0.3,negation,11,1500,0.00610635214309363,0.009960897264254087,0.0038545451211604576,0.27005803179546467,0.009082097259320828,0.01620049781392364
mistralai/Mistral-7B-Instruct-v0.3,negation,12,1500,0.0064642811952626555,0.018256029387713646,0.01179174819245099,0.40949928660770163,1.419410698846835e-05,5.51065330140536e-05
mistralai/Mistral-7B-Instruct-v0.3,negation,13,1500,0.006462963593342308,0.014707917173906626,0.008244953580564318,0.3342327648015275,0.00024457289062160265,0.0007686576562393226
mistralai/Mistral-7B-Instruct-v0.3,negation,14,1500,0.00640135542275766,0.016741945904613198,0.010340590481855538,0.40160273192571666,4.532117391398674e-05,0.00016617763768461807
mistralai/Mistral-7B-Instruct-v0.3,negation,15,1500,0.005811119181234892,0.02318110695004949,0.0173699877688146,0.4963506254957821,1.705280290907045e-07,9.379041599988748e-07
mistralai/Mistral-7B-Instruct-v0.3,negation,16,1500,0.005798041675537102,0.028531779362370835,0.022733737686833733,0.6539318891867245,2.4606773455453137e-09,3.248094096119814e-08
mistralai/Mistral-7B-Instruct-v0.3,negation,17,1500,0.005801644476819079,0.019025391638044065,0.013223747161224986,0.47970906009600967,4.566681791053901e-06,2.1528642729254108e-05
mistralai/Mistral-7B-Instruct-v0.3,negation,18,1500,0.005824074371870713,0.0112738404410192,0.005449766069148487,0.319405305031981,0.0024013746547471436,0.005660383114761124
mistralai/Mistral-7B-Instruct-v0.3,negation,19,1500,0.0061209954973152625,0.007498080695554132,0.0013770851982388699,0.16282965446826256,0.07967610183245379,0.10112736001811441
mistralai/Mistral-7B-Instruct-v0.3,negation,20,1500,0.006896044826662062,0.0082780658478806,0.001382021021218538,0.13785241505360393,0.07923359134315608,0.10112736001811441
mistralai/Mistral-7B-Instruct-v0.3,negation,21,1500,0.0072708269267445225,0.007199527329728395,-7.129959701612787e-05,0.06728400503153181,0.3449365501871718,0.37321003790743174
mistralai/Mistral-7B-Instruct-v0.3,negation,22,1500,0.007994724704476264,0.007374965167279091,-0.0006197595371971731,0.018260739053478272,0.7973611197520863,0.7973611197520863
mistralai/Mistral-7B-Instruct-v0.3,negation,23,1500,0.008376924692729326,0.008161475338545832,-0.00021544935418349453,0.05343118866281176,0.41143246829092633,0.41776219857232516
mistralai/Mistral-7B-Instruct-v0.3,negation,24,1500,0.008213384378464972,0.008060873284523984,-0.00015251109394098794,0.053193972454429445,0.38036134627977286,0.3922476383510158
mistralai/Mistral-7B-Instruct-v0.3,negation,25,1500,0.00833586025511257,0.008188795657083525,-0.00014706459802904526,0.050637118116027446,0.37784171807256156,0.3922476383510158
mistralai/Mistral-7B-Instruct-v0.3,negation,26,1500,0.008961016247424403,0.009096762953896387,0.00013574670647198417,0.05988685451519471,0.27251305204776644,0.3101010592267687
mistralai/Mistral-7B-Instruct-v0.3,negation,27,1500,0.008603243703828367,0.008864657424335176,0.000261413720506809,0.06311104952854041,0.2378222364726229,0.27537311591566865
mistralai/Mistral-7B-Instruct-v0.3,negation,28,1500,0.008366332215250627,0.008862440491749668,0.000496108276499041,0.07090047609762849,0.18622812992140783,0.22761215879283178
mistralai/Mistral-7B-Instruct-v0.3,negation,29,1500,0.007879685711240536,0.008291683774932945,0.0004119980636924092,0.07199826319575342,0.20308038064823894,0.24369645677788673
mistralai/Mistral-7B-Instruct-v0.3,negation,30,1500,0.008330951603232495,0.008416390730278445,8.54391270459498e-05,0.05932902913249369,0.2881813003069154,0.32237230203824435
mistralai/Mistral-7B-Instruct-v0.3,negation,31,1500,0.008788639899269368,0.008759820900946402,-2.881899832296586e-05,0.05616309564796901,0.32822704803353164,0.3610497528368848
mistralai/Mistral-7B-Instruct-v0.3,negation,32,1500,0.01007561179404548,0.029989192386621677,0.019913580592576197,0.5169531387788467,2.132933304652126e-08,1.759669976338004e-07
mistralai/Mistral-7B-Instruct-v0.3,role_reversal,0,1500,0.05077780157433742,0.05323481496199389,0.0024570133876564704,0.19021156271738998,0.027283441055966327,0.040015713548750616
mistralai/Mistral-7B-Instruct-v0.3,role_reversal,1,1500,0.05798878869016899,0.07475468664808027,0.01676589795791128,0.3737867483021874,1.3191089233457815e-07,8.706118894082159e-07
mistralai/Mistral-7B-Instruct-v0.3,role_reversal,2,1500,0.07104047351603104,0.08393128370814962,0.012890810192118574,0.2719974520498072,2.8976371913656247e-06,1.471108112539471e-05
mistralai/Mistral-7B-Instruct-v0.3,role_reversal,3,1500,0.08377396844751228,0.09569998917358069,0.01192602072606841,0.3662331534739185,5.718579832103886e-06,2.51617512612571e-05
mistralai/Mistral-7B-Instruct-v0.3,role_reversal,4,1500,0.09314173926783098,0.10905227545602802,0.015910536188197044,0.4313417275364906,1.609914695626444e-07,9.379041599988748e-07
mistralai/Mistral-7B-Instruct-v0.3,role_reversal,5,1500,0.08828083243725482,0.1158726138574856,0.027591781420230777,0.6690081281076502,7.369405661524063e-12,4.863807736605882e-10
mistralai/Mistral-7B-Instruct-v0.3,role_reversal,6,1500,0.08962790773635299,0.11236952789759991,0.022741620161246923,0.6519896882669631,4.67834173859457e-10,7.71926386868104e-09
mistralai/Mistral-7B-Instruct-v0.3,role_reversal,7,1500,0.09054909313272907,0.10163924785013323,0.011090154717404155,0.47844456329734797,1.0963081068178918e-05,4.522270940623804e-05
