model,phenomenon,layer,n,adj_r2_cos,adj_r2_cos_frob,delta_adj_r2,beta_z_frob,p_z_frob,p_z_frob_q
roberta-base,attachment,9,100,-0.0198348724579755,0.0258072850496789,0.0456421575076545,11.659428665698512,0.021123158940021,0.6329361049068042
gpt2,negation,10,100,-0.0099526202937449,0.0328224962169783,0.0427751165107233,1.3576557934690483,0.0230313567573044,0.6329361049068042
bert-base-uncased,role_reversal,11,100,-0.0040290139565162,0.0282234321356706,0.0322524460921869,-0.7946618810940065,0.0418654026440574,0.6329361049068042
roberta-base,attachment,10,100,-0.021531634283312,0.010570441777975,0.0321020760612871,12.105397425781174,0.0453107467203113,0.6329361049068042
roberta-base,negation,3,100,-0.0085789415342054,0.02315725202335,0.0317361935575555,2.3115184762879704,0.0435177840974658,0.6329361049068042
gpt2,role_reversal,6,100,0.0017142369713565,0.0333064915997869,0.0315922546284304,2.389132614687983,0.0430576684673602,0.6329361049068042
bert-base-uncased,attachment,10,100,-0.0119058118263015,0.019021193602529,0.0309270054288306,-2.5010725353587944,0.0476316012628509,0.6329361049068042
gpt2,role_reversal,7,100,0.0036666448912903,0.0343087210365491,0.0306420761452588,2.340340979161126,0.0453839156118508,0.6329361049068042
roberta-base,attachment,11,100,-0.0222409433267032,0.0058828791543724,0.0281238224810757,13.159476309360684,0.0568847092801109,0.6329361049068042
bert-base-uncased,attachment,9,100,-0.0054789076126433,0.021408644219434,0.0268875518320773,-2.2929327956224674,0.0595068132818362,0.6329361049068042
roberta-base,role_reversal,2,100,0.029823700077315,0.0563474154539073,0.0265237153765922,1.1648005608085727,0.0555727836608437,0.6329361049068042
bert-base-uncased,role_reversal,10,100,0.0031364458586663,0.0260863587393189,0.0229499128806526,-0.6926652895577099,0.0719725769544305,0.7017326253056977
gpt2,attachment,2,100,-0.0200239137100604,0.0007061472186637,0.0207300609287242,6.934844964987332,0.0869508765813536,0.7588669431147816
roberta-base,attachment,8,100,-0.0215837061279056,-0.0016566373399198,0.0199270687879857,7.683482339878449,0.0913084212542684,0.7588669431147816
bert-base-uncased,attachment,8,100,-0.0147545729059854,0.0039674769410449,0.0187220498470304,-2.1873620445519983,0.0972906337326643,0.7588669431147816
bert-base-uncased,role_reversal,0,100,-0.0036566649289215,0.0130790890672923,0.0167357539962139,-0.2236128959642886,0.1060244334281813,0.775303669443576
gpt2,negation,9,100,-0.0100407542968423,0.0022377034814909,0.0122784577783333,0.8444210586695231,0.1407185920222851,0.8761436620020968
gpt2,negation,6,100,-0.0094225208840408,0.0022406555993346,0.0116631764833754,-0.8518139890167575,0.1462167242829876,0.8761436620020968
