model,phenomenon,layer,selectivity
bert-base-uncased,negation,0,0.5117152026384043
bert-base-uncased,negation,1,0.4955345786592132
bert-base-uncased,negation,2,0.4945582909598615
bert-base-uncased,negation,3,0.5129777628081449
bert-base-uncased,negation,4,0.5088605630886003
bert-base-uncased,negation,5,0.5027870297245463
bert-base-uncased,negation,6,0.5191531230151152
bert-base-uncased,negation,7,0.5158919171866342
bert-base-uncased,negation,8,0.5071703252518619
bert-base-uncased,negation,9,0.5128312508002132
bert-base-uncased,negation,10,0.4977299597083036
bert-base-uncased,negation,11,0.5013690360873919
bert-base-uncased,negation,12,0.5141639502071417
bert-base-uncased,role_reversal,0,0.4731277054208761
bert-base-uncased,role_reversal,1,0.5059657659410776
bert-base-uncased,role_reversal,2,0.5110616564409177
bert-base-uncased,role_reversal,3,0.5069439155905002
bert-base-uncased,role_reversal,4,0.5133623231611971
bert-base-uncased,role_reversal,5,0.507963677508408
bert-base-uncased,role_reversal,6,0.507710890141524
bert-base-uncased,role_reversal,7,0.5098650119257863
bert-base-uncased,role_reversal,8,0.5035998022774113
bert-base-uncased,role_reversal,9,0.5139604157909811
bert-base-uncased,role_reversal,10,0.5169021856965249
bert-base-uncased,role_reversal,11,0.5143653391081097
bert-base-uncased,role_reversal,12,0.5229460470404985
gpt2,negation,0,0.5240677125662747
gpt2,negation,1,0.5106613621971794
gpt2,negation,2,0.5088805044544199
gpt2,negation,3,0.5133371526850069
gpt2,negation,4,0.5131964272451858
gpt2,negation,5,0.5042668485134693
gpt2,negation,6,0.5039954066736574
gpt2,negation,7,0.5017006124638244
gpt2,negation,8,0.5092675311558064
gpt2,negation,9,0.5117439165063332
gpt2,negation,10,0.5130019164281079
gpt2,negation,11,0.5072288064607253
gpt2,negation,12,0.5103433798334636
gpt2,role_reversal,0,0.4815733960166042
gpt2,role_reversal,1,0.5073590278191166
gpt2,role_reversal,2,0.5153471649150466
gpt2,role_reversal,3,0.513113968063988
gpt2,role_reversal,4,0.5181889402165463
gpt2,role_reversal,5,0.5214964209079896
gpt2,role_reversal,6,0.5119070359092748
gpt2,role_reversal,7,0.5181105494918036
gpt2,role_reversal,8,0.5097871766187156
gpt2,role_reversal,9,0.5101479351601668
gpt2,role_reversal,10,0.5174449190355219
gpt2,role_reversal,11,0.5176862212249729
gpt2,role_reversal,12,0.5162254130616035
roberta-base,negation,0,0.5240039971311171
roberta-base,negation,1,0.5109039898800253
roberta-base,negation,2,0.51947778741121
roberta-base,negation,3,0.5108212501953593
roberta-base,negation,4,0.5169991182351727
roberta-base,negation,5,0.5135332763509144
roberta-base,negation,6,0.5076505559304756
roberta-base,negation,7,0.5200930604481597
roberta-base,negation,8,0.5179559621380793
roberta-base,negation,9,0.5083671147375509
roberta-base,negation,10,0.4968588595981049
roberta-base,negation,11,0.5043984866769599
roberta-base,negation,12,0.5210481483855327
roberta-base,role_reversal,0,0.4802430472924562
roberta-base,role_reversal,1,0.508107100988557
roberta-base,role_reversal,2,0.5201746692093062
roberta-base,role_reversal,3,0.5032890034110761
roberta-base,role_reversal,4,0.5084941982673041
roberta-base,role_reversal,5,0.5068841221537848
roberta-base,role_reversal,6,0.5045558899564192
roberta-base,role_reversal,7,0.5041697569309396
roberta-base,role_reversal,8,0.509997974063953
roberta-base,role_reversal,9,0.505817985571858
roberta-base,role_reversal,10,0.5073936316380709
roberta-base,role_reversal,11,0.511220403146189
roberta-base,role_reversal,12,0.5141003624929465
